county,precinct,office,district,party,candidate,votes,early_votes,mail_votes,poll_votes,provisional_votes
La Plata,3065934001,Voters,,,Registered,1339,0,0,1339,0
La Plata,3065934002,Voters,,,Registered,985,0,0,985,0
La Plata,3065934003,Voters,,,Registered,546,0,0,546,0
La Plata,3065934004,Voters,,,Registered,1241,0,0,1241,0
La Plata,3065934005,Voters,,,Registered,1023,0,0,1023,0
La Plata,3065934006,Voters,,,Registered,1068,0,0,1068,0
La Plata,3065934007,Voters,,,Registered,1498,0,0,1498,0
La Plata,3065934008,Voters,,,Registered,1488,0,0,1488,0
La Plata,3065934009,Voters,,,Registered,961,0,0,961,0
La Plata,3065934010,Voters,,,Registered,789,0,0,789,0
La Plata,3065934011,Voters,,,Registered,1526,0,0,1526,0
La Plata,3065934012,Voters,,,Registered,1403,0,0,1403,0
La Plata,3065934013,Voters,,,Registered,1889,0,0,1889,0
La Plata,3065934014,Voters,,,Registered,1392,0,0,1392,0
La Plata,3065934015,Voters,,,Registered,667,0,0,667,0
La Plata,3065934016,Voters,,,Registered,960,0,0,960,0
La Plata,3065934017,Voters,,,Registered,1983,0,0,1983,0
La Plata,3065934018,Voters,,,Registered,1580,0,0,1580,0
La Plata,3065934019,Voters,,,Registered,1837,0,0,1837,0
La Plata,3065934020,Voters,,,Registered,1472,0,0,1472,0
La Plata,3065934021,Voters,,,Registered,1495,0,0,1495,0
La Plata,3065934022,Voters,,,Registered,2316,0,0,2316,0
La Plata,3065934023,Voters,,,Registered,1617,0,0,1617,0
La Plata,3065934024,Voters,,,Registered,1279,0,0,1279,0
La Plata,3065934025,Voters,,,Registered,487,0,0,487,0
La Plata,3065934026,Voters,,,Registered,2513,0,0,2513,0
La Plata,3065934027,Voters,,,Registered,527,0,0,527,0
La Plata,3065934028,Voters,,,Registered,1352,0,0,1352,0
La Plata,3065934029,Voters,,,Registered,1432,0,0,1432,0
La Plata,3065934030,Voters,,,Registered,2851,0,0,2851,0
La Plata,Totals,Voters,,,Registered,41516,0,0,41516,0
La Plata,3065934001,Voters,,,Ballots,784,68,458,213,45
La Plata,3065934002,Voters,,,Ballots,638,77,406,140,15
La Plata,3065934003,Voters,,,Ballots,368,48,235,76,9
La Plata,3065934004,Voters,,,Ballots,912,101,625,167,19
La Plata,3065934005,Voters,,,Ballots,796,96,557,139,4
La Plata,3065934006,Voters,,,Ballots,811,116,557,125,13
La Plata,3065934007,Voters,,,Ballots,978,115,678,160,25
La Plata,3065934008,Voters,,,Ballots,1024,123,683,201,17
La Plata,3065934009,Voters,,,Ballots,711,56,506,132,17
La Plata,3065934010,Voters,,,Ballots,571,62,381,115,13
La Plata,3065934011,Voters,,,Ballots,1191,143,682,349,17
La Plata,3065934012,Voters,,,Ballots,1021,131,589,274,27
La Plata,3065934013,Voters,,,Ballots,1372,142,943,253,34
La Plata,3065934014,Voters,,,Ballots,1076,115,642,300,19
La Plata,3065934015,Voters,,,Ballots,450,63,210,161,16
La Plata,3065934016,Voters,,,Ballots,662,93,432,114,23
La Plata,3065934017,Voters,,,Ballots,1477,196,981,277,23
La Plata,3065934018,Voters,,,Ballots,1167,177,737,235,18
La Plata,3065934019,Voters,,,Ballots,1375,309,828,217,21
La Plata,3065934020,Voters,,,Ballots,1040,278,557,182,23
La Plata,3065934021,Voters,,,Ballots,1112,152,629,306,25
La Plata,3065934022,Voters,,,Ballots,1648,192,1038,394,24
La Plata,3065934023,Voters,,,Ballots,1188,170,614,371,33
La Plata,3065934024,Voters,,,Ballots,786,79,369,314,24
La Plata,3065934025,Voters,,,Ballots,383,55,199,123,6
La Plata,3065934026,Voters,,,Ballots,1776,391,1030,313,42
La Plata,3065934027,Voters,,,Ballots,375,41,246,80,8
La Plata,3065934028,Voters,,,Ballots,968,143,618,188,19
La Plata,3065934029,Voters,,,Ballots,1023,113,680,213,17
La Plata,3065934030,Voters,,,Ballots,1733,194,1061,411,67
La Plata,Totals,Voters,,,Ballots,29416,4039,18171,6543,663
La Plata,3065934001,President,,AC,Virgil Goode,1,0,0,1,0
La Plata,3065934002,President,,AC,Virgil Goode,2,0,1,1,0
La Plata,3065934003,President,,AC,Virgil Goode,0,0,0,0,0
La Plata,3065934004,President,,AC,Virgil Goode,0,0,0,0,0
La Plata,3065934005,President,,AC,Virgil Goode,2,0,2,0,0
La Plata,3065934006,President,,AC,Virgil Goode,0,0,0,0,0
La Plata,3065934007,President,,AC,Virgil Goode,2,0,2,0,0
La Plata,3065934008,President,,AC,Virgil Goode,1,0,1,0,0
La Plata,3065934009,President,,AC,Virgil Goode,0,0,0,0,0
La Plata,3065934010,President,,AC,Virgil Goode,0,0,0,0,0
La Plata,3065934011,President,,AC,Virgil Goode,7,0,2,5,0
La Plata,3065934012,President,,AC,Virgil Goode,1,0,0,1,0
La Plata,3065934013,President,,AC,Virgil Goode,2,0,2,0,0
La Plata,3065934014,President,,AC,Virgil Goode,1,0,1,0,0
La Plata,3065934015,President,,AC,Virgil Goode,1,0,0,1,0
La Plata,3065934016,President,,AC,Virgil Goode,2,0,1,1,0
La Plata,3065934017,President,,AC,Virgil Goode,4,0,3,1,0
La Plata,3065934018,President,,AC,Virgil Goode,4,0,2,2,0
La Plata,3065934019,President,,AC,Virgil Goode,3,0,1,2,0
La Plata,3065934020,President,,AC,Virgil Goode,3,1,1,1,0
La Plata,3065934021,President,,AC,Virgil Goode,3,0,2,1,0
La Plata,3065934022,President,,AC,Virgil Goode,2,0,2,0,0
La Plata,3065934023,President,,AC,Virgil Goode,3,0,3,0,0
La Plata,3065934024,President,,AC,Virgil Goode,3,0,2,1,0
La Plata,3065934025,President,,AC,Virgil Goode,0,0,0,0,0
La Plata,3065934026,President,,AC,Virgil Goode,6,2,2,1,1
La Plata,3065934027,President,,AC,Virgil Goode,0,0,0,0,0
La Plata,3065934028,President,,AC,Virgil Goode,1,0,1,0,0
La Plata,3065934029,President,,AC,Virgil Goode,0,0,0,0,0
La Plata,3065934030,President,,AC,Virgil Goode,2,0,2,0,0
La Plata,Totals,President,,AC,Virgil Goode,56,3,33,19,1
La Plata,3065934001,President,,DEM,Barack Obama,626,54,376,160,36
La Plata,3065934002,President,,DEM,Barack Obama,505,62,326,105,12
La Plata,3065934003,President,,DEM,Barack Obama,256,37,161,52,6
La Plata,3065934004,President,,DEM,Barack Obama,622,68,431,107,16
La Plata,3065934005,President,,DEM,Barack Obama,522,60,374,86,2
La Plata,3065934006,President,,DEM,Barack Obama,555,83,381,81,10
La Plata,3065934007,President,,DEM,Barack Obama,686,84,484,101,17
La Plata,3065934008,President,,DEM,Barack Obama,719,84,497,126,12
La Plata,3065934009,President,,DEM,Barack Obama,450,37,324,78,11
La Plata,3065934010,President,,DEM,Barack Obama,429,49,289,86,5
La Plata,3065934011,President,,DEM,Barack Obama,447,68,266,107,6
La Plata,3065934012,President,,DEM,Barack Obama,500,67,273,143,17
La Plata,3065934013,President,,DEM,Barack Obama,768,82,548,123,15
La Plata,3065934014,President,,DEM,Barack Obama,552,52,350,138,12
La Plata,3065934015,President,,DEM,Barack Obama,146,19,72,46,9
La Plata,3065934016,President,,DEM,Barack Obama,335,49,219,52,15
La Plata,3065934017,President,,DEM,Barack Obama,827,115,571,127,14
La Plata,3065934018,President,,DEM,Barack Obama,587,82,398,96,11
La Plata,3065934019,President,,DEM,Barack Obama,485,97,306,72,10
La Plata,3065934020,President,,DEM,Barack Obama,386,112,208,60,6
La Plata,3065934021,President,,DEM,Barack Obama,438,64,240,121,13
La Plata,3065934022,President,,DEM,Barack Obama,717,70,483,151,13
La Plata,3065934023,President,,DEM,Barack Obama,376,58,202,102,14
La Plata,3065934024,President,,DEM,Barack Obama,432,37,202,179,14
La Plata,3065934025,President,,DEM,Barack Obama,98,14,56,25,3
La Plata,3065934026,President,,DEM,Barack Obama,712,150,448,94,20
La Plata,3065934027,President,,DEM,Barack Obama,208,22,142,36,8
La Plata,3065934028,President,,DEM,Barack Obama,527,95,342,80,10
La Plata,3065934029,President,,DEM,Barack Obama,476,41,324,100,11
La Plata,3065934030,President,,DEM,Barack Obama,1102,127,675,256,44
La Plata,Totals,President,,DEM,Barack Obama,15489,2039,9968,3090,392
La Plata,3065934001,President,,REP,Mitt Romney,107,11,55,37,4
La Plata,3065934002,President,,REP,Mitt Romney,103,12,65,25,1
La Plata,3065934003,President,,REP,Mitt Romney,94,10,67,17,0
La Plata,3065934004,President,,REP,Mitt Romney,256,30,172,51,3
La Plata,3065934005,President,,REP,Mitt Romney,250,36,165,48,1
La Plata,3065934006,President,,REP,Mitt Romney,232,33,157,40,2
La Plata,3065934007,President,,REP,Mitt Romney,249,27,168,47,7
La Plata,3065934008,President,,REP,Mitt Romney,262,35,166,57,4
