county,precinct,office,district,party,candidate,votes,poll_votes,mail_votes,early_votes
Ouray,1,President,,AC,Virgil Goode,4,0,4,0
Ouray,2,President,,AC,Virgil Goode,2,0,1,1
Ouray,3,President,,AC,Virgil Goode,2,0,2,0
Ouray,4,President,,AC,Virgil Goode,1,0,1,0
Ouray,5,President,,AC,Virgil Goode,2,1,1,0
Ouray,1,President,,D,Barack Obama,254,44,180,30
Ouray,2,President,,D,Barack Obama,280,49,185,46
Ouray,3,President,,D,Barack Obama,538,76,428,34
Ouray,4,President,,D,Barack Obama,124,24,94,6
Ouray,5,President,,D,Barack Obama,450,102,311,37
Ouray,1,President,,R,Mitt Romney,170,45,111,14
Ouray,2,President,,R,Mitt Romney,267,58,171,38
Ouray,3,President,,R,Mitt Romney,451,77,351,23
Ouray,4,President,,R,Mitt Romney,326,72,238,16
Ouray,5,President,,R,Mitt Romney,267,78,168,21
Ouray,1,President,,L,Gary Johnson,4,1,2,1
Ouray,2,President,,L,Gary Johnson,9,5,4,0
Ouray,3,President,,L,Gary Johnson,14,3,11,0
Ouray,4,President,,L,Gary Johnson,7,3,4,0
Ouray,5,President,,L,Gary Johnson,4,2,2,0
Ouray,1,President,,G,Jill Stein,2,1,1,0
Ouray,2,President,,G,Jill Stein,2,1,1,0
Ouray,3,President,,G,Jill Stein,3,0,2,1
Ouray,4,President,,G,Jill Stein,2,1,1,0
Ouray,5,President,,G,Jill Stein,5,0,5,0
Ouray,1,President,,J,Ross Anderson,0,0,0,0
Ouray,2,President,,J,Ross Anderson,1,0,0,1
Ouray,3,President,,J,Ross Anderson,0,0,0,0
Ouray,4,President,,J,Ross Anderson,1,1,0,0
Ouray,5,President,,J,Ross Anderson,0,0,0,0
Ouray,1,President,,PFP,Roseanne Barr,0,0,0,0
Ouray,2,President,,PFP,Roseanne Barr,0,0,0,0
Ouray,3,President,,PFP,Roseanne Barr,3,0,3,0
Ouray,4,President,,PFP,Roseanne Barr,1,1,0,0
Ouray,5,President,,PFP,Roseanne Barr,1,1,0,0
Ouray,1,President,,AIP,Tom Hoefling,1,0,0,1
Ouray,2,President,,AIP,Tom Hoefling,0,0,0,0
Ouray,3,President,,AIP,Tom Hoefling,0,0,0,0
Ouray,4,President,,AIP,Tom Hoefling,0,0,0,0
Ouray,5,President,,AIP,Tom Hoefling,0,0,0,0
Ouray,1,President,,U,Jill Reed,0,0,0,0
Ouray,2,President,,U,Jill Reed,2,1,1,0
Ouray,3,President,,U,Jill Reed,0,0,0,0
Ouray,4,President,,U,Jill Reed,0,0,0,0
Ouray,5,President,,U,Jill Reed,1,0,1,0
Ouray,1,President,,SE,Jerry White,0,0,0,0
Ouray,2,President,,SE,Jerry White,0,0,0,0
Ouray,3,President,,SE,Jerry White,1,0,1,0
Ouray,4,President,,SE,Jerry White,0,0,0,0
Ouray,5,President,,SE,Jerry White,0,0,0,0
Ouray,1,U.S. House,3,D,Sal Pace,212,32,153,27
Ouray,2,U.S. House,3,D,Sal Pace,231,37,157,37
Ouray,3,U.S. House,3,D,Sal Pace,488,67,390,31
Ouray,4,U.S. House,3,D,Sal Pace,115,18,92,5
Ouray,5,U.S. House,3,D,Sal Pace,393,87,271,35
Ouray,1,U.S. House,3,R,Scott Tipton,181,50,117,14
Ouray,2,U.S. House,3,R,Scott Tipton,279,62,175,42
Ouray,3,U.S. House,3,R,Scott Tipton,471,75,372,24
Ouray,4,U.S. House,3,R,Scott Tipton,323,75,233,15
Ouray,5,U.S. House,3,R,Scott Tipton,287,79,185,23
Ouray,1,U.S. House,3,L,Gregory Gilman,9,1,5,3
Ouray,2,U.S. House,3,L,Gregory Gilman,21,5,13,3
Ouray,3,U.S. House,3,L,Gregory Gilman,14,6,8,0
Ouray,4,U.S. House,3,L,Gregory Gilman,7,3,4,0
Ouray,5,U.S. House,3,L,Gregory Gilman,12,6,6,0
Ouray,1,U.S. House,3,U,Tisha Casida,18,3,12,3
Ouray,2,U.S. House,3,U,Tisha Casida,23,10,10,3
Ouray,3,U.S. House,3,U,Tisha Casida,22,4,17,1
Ouray,4,U.S. House,3,U,Tisha Casida,12,4,8,0
Ouray,5,U.S. House,3,U,Tisha Casida,19,4,14,1
Ouray,1,State House,59,D,Mike McLachlan,242,40,170,32
Ouray,2,State House,59,D,Mike McLachlan,274,49,178,47
Ouray,3,State House,59,D,Mike McLachlan,538,77,428,33
Ouray,4,State House,59,D,Mike McLachlan,130,23,102,5
Ouray,5,State House,59,D,Mike McLachlan,430,101,294,35
Ouray,1,State House,59,R,Paul Brown,164,44,106,14
Ouray,2,State House,59,R,Paul Brown,276,64,172,40
Ouray,3,State House,59,R,Paul Brown,436,72,341,23
Ouray,4,State House,59,R,Paul Brown,322,76,231,15
Ouray,5,State House,59,R,Paul Brown,263,73,168,22
Ouray,1,Amendment,64,,Yes,253,53,161,39
Ouray,2,Amendment,64,,Yes,325,79,200,46
Ouray,3,Amendment,64,,Yes,638,91,510,37
Ouray,4,Amendment,64,,Yes,224,51,166,7
Ouray,5,Amendment,64,,Yes,507,130,329,48
Ouray,1,Amendment,64,,No,176,36,132,8
Ouray,2,Amendment,64,,No,224,37,151,36
Ouray,3,Amendment,64,,No,366,62,285,19
Ouray,4,Amendment,64,,No,235,50,170,15
Ouray,5,Amendment,64,,No,214,53,150,11
