county,precinct,office,district,party,candidate,votes,mail_votes,early_votes,poll_votes
Clear Creek,1,President,,AC,Virgil Goode,1,0,0,1
Clear Creek,1,President,,D,Barack Obama,441,257,72,112
Clear Creek,1,President,,R,Mitt Romney,255,146,45,64
Clear Creek,1,President,,L,Gary Johnson,21,9,3,9
Clear Creek,1,President,,G,Jill Stein,3,2,0,1
Clear Creek,1,President,,PFP,Roseanne Barr,5,2,0,3
Clear Creek,1,U.S. House,2,R,Kevin Lundberg,236,139,34,63
Clear Creek,1,U.S. House,2,D,Jared Polis,399,234,68,97
Clear Creek,1,U.S. House,2,L,Randy Lualin,36,16,6,14
Clear Creek,1,U.S. House,2,I,Susan Hall,28,11,9,8
Clear Creek,1,State House,13,R,Adam Ochs,253,148,37,68
Clear Creek,1,State House,13,D,Claire Levy,395,229,75,91
Clear Creek,1,State House,13,L,Howard Lambert,38,14,5,19
Clear Creek,1,Amendment,64,,Yes,499,278,84,137
Clear Creek,1,Amendment,64,,No,220,131,36,53
Clear Creek,2,President,,AC,Virgil Goode,2,1,0,1
Clear Creek,2,President,,D,Barack Obama,149,103,20,26
Clear Creek,2,President,,R,Mitt Romney,97,55,17,25
Clear Creek,2,President,,L,Gary Johnson,9,4,2,3
Clear Creek,2,President,,G,Jill Stein,3,2,0,1
Clear Creek,2,President,,PFP,Roseanne Barr,4,1,0,3
Clear Creek,2,President,,AIP,Tom Hoefling,1,1,0,0
Clear Creek,2,President,,ATP,Merlin Miller,1,0,0,1
Clear Creek,2,President,,U,Jill Reed,2,1,0,1
Clear Creek,2,U.S. House,2,R,Kevin Lundberg,97,59,17,21
Clear Creek,2,U.S. House,2,D,Jared Polis,126,82,19,25
Clear Creek,2,U.S. House,2,L,Randy Lualin,11,7,2,2
Clear Creek,2,U.S. House,2,I,Susan Hall,20,9,0,11
Clear Creek,2,State House,13,R,Adam Ochs,98,60,16,22
Clear Creek,2,State House,13,D,Claire Levy,142,90,23,29
Clear Creek,2,State House,13,L,Howard Lambert,20,13,0,7
Clear Creek,2,Amendment,64,,Yes,185,122,20,43
Clear Creek,2,Amendment,64,,No,84,47,18,19
Clear Creek,3,President,,D,Barack Obama,66,36,7,23
Clear Creek,3,President,,R,Mitt Romney,41,28,3,10
Clear Creek,3,U.S. House,2,R,Kevin Lundberg,38,25,3,10
Clear Creek,3,U.S. House,2,D,Jared Polis,56,30,7,19
Clear Creek,3,U.S. House,2,L,Randy Lualin,8,5,0,3
Clear Creek,3,U.S. House,2,I,Susan Hall,2,1,0,1
Clear Creek,3,State House,13,R,Adam Ochs,36,23,3,10
Clear Creek,3,State House,13,D,Claire Levy,56,32,6,18
Clear Creek,3,State House,13,L,Howard Lambert,11,6,1,4
Clear Creek,3,Amendment,64,,Yes,71,40,6,25
Clear Creek,3,Amendment,64,,No,35,23,4,8
Clear Creek,3--3--04,President,,AC,Virgil Goode,1,0,0,1
Clear Creek,3--3--04,President,,D,Barack Obama,135,83,18,34
Clear Creek,3--3--04,President,,R,Mitt Romney,90,48,13,29
Clear Creek,3--3--04,President,,L,Gary Johnson,12,7,0,5
Clear Creek,3--3--04,President,,U,Jill Reed,1,0,0,1
Clear Creek,3--3--04,U.S. House,2,R,Kevin Lundberg,91,52,11,28
Clear Creek,3--3--04,U.S. House,2,D,Jared Polis,119,72,16,31
