county,precinct,office,district,party,candidate,votes,poll_votes,mail_votes,early_votes
Cheyenne,1,President,,D,Barack Obama,16,6,10,0
Cheyenne,2,President,,D,Barack Obama,45,11,29,5
Cheyenne,3,President,,D,Barack Obama,51,16,34,1
Cheyenne,4,President,,D,Barack Obama,48,23,24,1
Cheyenne,5,President,,D,Barack Obama,12,4,6,2
Cheyenne,1,President,,R,Mitt Romney,108,19,73,16
Cheyenne,2,President,,R,Mitt Romney,246,80,137,29
Cheyenne,3,President,,R,Mitt Romney,292,93,161,38
Cheyenne,4,President,,R,Mitt Romney,192,79,108,5
Cheyenne,5,President,,R,Mitt Romney,51,15,34,2
Cheyenne,1,President,,AC,Virgil Goode,0,0,0,0
Cheyenne,2,President,,AC,Virgil Goode,4,0,4,0
Cheyenne,3,President,,AC,Virgil Goode,2,0,2,0
Cheyenne,4,President,,AC,Virgil Goode,0,0,0,0
Cheyenne,5,President,,AC,Virgil Goode,0,0,0,0
Cheyenne,1,President,,L,Gary Johnson,2,1,1,0
Cheyenne,2,President,,L,Gary Johnson,5,1,4,0
Cheyenne,3,President,,L,Gary Johnson,1,0,1,0
Cheyenne,4,President,,L,Gary Johnson,2,0,1,1
Cheyenne,5,President,,L,Gary Johnson,1,1,0,0
Cheyenne,1,President,,G,Jill Stein,0,0,0,0
Cheyenne,2,President,,G,Jill Stein,2,1,1,0
Cheyenne,3,President,,G,Jill Stein,0,0,0,0
Cheyenne,4,President,,G,Jill Stein,0,0,0,0
Cheyenne,5,President,,G,Jill Stein,0,0,0,0
Cheyenne,1,President,,PFP,Roseanne Barr,0,0,0,0
Cheyenne,2,President,,PFP,Roseanne Barr,7,3,3,1
Cheyenne,3,President,,PFP,Roseanne Barr,2,1,1,0
Cheyenne,4,President,,PFP,Roseanne Barr,1,0,1,0
Cheyenne,5,President,,PFP,Roseanne Barr,0,0,0,0
Cheyenne,1,President,,U,Jill Reed,1,0,1,0
Cheyenne,2,President,,U,Jill Reed,1,0,1,0
Cheyenne,3,President,,U,Jill Reed,0,0,0,0
Cheyenne,4,President,,U,Jill Reed,0,0,0,0
Cheyenne,5,President,,U,Jill Reed,0,0,0,0
Cheyenne,1,President,,SE,Jerry White,0,0,0,0
Cheyenne,2,President,,SE,Jerry White,0,0,0,0
Cheyenne,3,President,,SE,Jerry White,0,0,0,0
Cheyenne,4,President,,SE,Jerry White,1,0,1,0
Cheyenne,5,President,,SE,Jerry White,0,0,0,0
Cheyenne,1,U.S. House,4,D,Brandon Shaffer,13,5,8,0
Cheyenne,2,U.S. House,4,D,Brandon Shaffer,36,10,25,1
Cheyenne,3,U.S. House,4,D,Brandon Shaffer,43,14,27,2
Cheyenne,4,U.S. House,4,D,Brandon Shaffer,38,16,21,1
Cheyenne,5,U.S. House,4,D,Brandon Shaffer,11,2,7,2
Cheyenne,1,U.S. House,4,R,Cory Gardner,101,18,67,16
Cheyenne,2,U.S. House,4,R,Cory Gardner,252,77,144,31
Cheyenne,3,U.S. House,4,R,Cory Gardner,295,93,164,38
Cheyenne,4,U.S. House,4,R,Cory Gardner,193,80,107,6
Cheyenne,5,U.S. House,4,R,Cory Gardner,52,18,32,2
Cheyenne,1,U.S. House,4,AC,Doug Aden,4,2,2,0
Cheyenne,2,U.S. House,4,AC,Doug Aden,11,3,7,1
Cheyenne,3,U.S. House,4,AC,Doug Aden,6,0,6,0
Cheyenne,4,U.S. House,4,AC,Doug Aden,3,2,1,0
Cheyenne,5,U.S. House,4,AC,Doug Aden,0,0,0,0
Cheyenne,1,U.S. House,4,L,Josh Gilliland,3,1,2,0
Cheyenne,2,U.S. House,4,L,Josh Gilliland,7,4,1,2
Cheyenne,3,U.S. House,4,L,Josh Gilliland,5,2,3,0
Cheyenne,4,U.S. House,4,L,Josh Gilliland,5,1,4,0
Cheyenne,5,U.S. House,4,L,Josh Gilliland,0,0,0,0
Cheyenne,1,State House,65,R,Jerry Sonnenberg,97,25,58,14
Cheyenne,2,State House,65,R,Jerry Sonnenberg,246,80,135,31
Cheyenne,3,State House,65,R,Jerry Sonnenberg,288,96,157,35
Cheyenne,4,State House,65,R,Jerry Sonnenberg,203,83,113,7
Cheyenne,5,State House,65,R,Jerry Sonnenberg,45,13,29,3
Cheyenne,1,Amendment,64,,Yes,40,5,28,7
Cheyenne,2,Amendment,64,,Yes,118,44,61,13
Cheyenne,3,Amendment,64,,Yes,117,35,70,12
Cheyenne,4,Amendment,64,,Yes,90,38,48,4
Cheyenne,5,Amendment,64,,Yes,21,7,12,2
Cheyenne,1,Amendment,64,,No,87,21,57,9
Cheyenne,2,Amendment,64,,No,189,51,116,22
Cheyenne,3,Amendment,64,,No,233,75,130,28
Cheyenne,4,Amendment,64,,No,146,61,83,2
Cheyenne,5,Amendment,64,,No,43,13,28,2
