county,precinct,office,district,party,candidate,early_votes,poll_votes,votes
Delta,3055415001,Voters,,,Ballots,830,109,939
Delta,3055415001,President,,AC,Virgil Goode,2,0,2
Delta,3055415001,President,,D,Barack Obama,163,16,179
Delta,3055415001,President,,R,Mitt Romney,653,91,744
Delta,3055415001,President,,L,Gary Johnson,5,1,6
Delta,3055415001,President,,G,Jill Stein,1,0,1
Delta,3055415001,President,,S,Stewart Alexander,0,0,0
Delta,3055415001,President,,J,Ross Anderson,0,0,0
Delta,3055415001,President,,PFP,Roseanne Barr,1,1,2
Delta,3055415001,President,,SW,James Harris,0,0,0
Delta,3055415001,President,,AIP,Tom Hoefling,0,0,0
Delta,3055415001,President,,SAL,Gloria LaRiva,0,0,0
Delta,3055415001,President,,ATP,Merlin Miller,0,0,0
Delta,3055415001,President,,UNA,Jill Reed,0,0,0
Delta,3055415001,President,,OBJ,Thomas Stevens,0,0,0
Delta,3055415001,President,,WTP,Sheila Tittle,0,0,0
Delta,3055415001,President,,SEP,Jerry White,0,0,0
Delta,3055415001,U.S. House,3,D,Sal Pace,144,12,156
Delta,3055415001,U.S. House,3,R,Scott Tipton,640,87,727
Delta,3055415001,U.S. House,3,L,Gregory Gilman,12,3,15
Delta,3055415001,U.S. House,3,UNA,Tisha Casida,22,4,26
Delta,3055415001,State House,54,R,Jared Wright,589,91,680
Delta,3055415001,State House,54,D,Tim Menger,161,14,175
Delta,3055415002,Voters,,,Ballots,460,104,564
Delta,3055415002,President,,AC,Virgil Goode,3,1,4
Delta,3055415002,President,,D,Barack Obama,110,14,124
Delta,3055415002,President,,R,Mitt Romney,325,86,411
Delta,3055415002,President,,L,Gary Johnson,6,0,6
Delta,3055415002,President,,G,Jill Stein,0,1,1
Delta,3055415002,President,,S,Stewart Alexander,0,0,0
Delta,3055415002,President,,J,Ross Anderson,2,0,2
Delta,3055415002,President,,PFP,Roseanne Barr,3,0,3
Delta,3055415002,President,,SW,James Harris,0,0,0
Delta,3055415002,President,,AIP,Tom Hoefling,0,0,0
Delta,3055415002,President,,SAL,Gloria LaRiva,0,0,0
Delta,3055415002,President,,ATP,Merlin Miller,0,0,0
Delta,3055415002,President,,UNA,Jill Reed,3,0,3
Delta,3055415002,President,,OBJ,Thomas Stevens,0,0,0
Delta,3055415002,President,,WTP,Sheila Tittle,0,0,0
Delta,3055415002,President,,SEP,Jerry White,0,0,0
Delta,3055415002,U.S. House,3,D,Sal Pace,90,12,102
Delta,3055415002,U.S. House,3,R,Scott Tipton,323,83,406
