county,office,district,party,candidate,votes
Adams,US Representatives,District 7,ACN,Doug Aden,3
Adams,US Representatives,District 7,,,3
Arapahoe,US Representatives,District 7,ACN,Doug Aden,0
Arapahoe,US Representatives,District 7,,,0
Baca,US Representatives,District 7,ACN,Doug Aden,1
Baca,US Representatives,District 7,,,1
Bent,US Representatives,District 7,ACN,Doug Aden,1
Bent,US Representatives,District 7,,,1
Boulder,US Representatives,District 7,ACN,Doug Aden,6
Boulder,US Representatives,District 7,,,6
Cheyenne,US Representatives,District 7,ACN,Doug Aden,0
Cheyenne,US Representatives,District 7,,,0
Crowley,US Representatives,District 7,ACN,Doug Aden,3
Crowley,US Representatives,District 7,,,3
Douglas,US Representatives,District 7,ACN,Doug Aden,18
Douglas,US Representatives,District 7,,,18
Elbert,US Representatives,District 7,ACN,Doug Aden,7
Elbert,US Representatives,District 7,,,7
Kiowa,US Representatives,District 7,ACN,Doug Aden,2
Kiowa,US Representatives,District 7,,,2
Kit Carson,US Representatives,District 7,ACN,Doug Aden,0
Kit Carson,US Representatives,District 7,,,0
Las Animas,US Representatives,District 7,ACN,Doug Aden,0
Las Animas,US Representatives,District 7,,,0
Lincoln,US Representatives,District 7,ACN,Doug Aden,1
Lincoln,US Representatives,District 7,,,1
Logan,US Representatives,District 7,ACN,Doug Aden,2
Logan,US Representatives,District 7,,,2
Morgan,US Representatives,District 7,ACN,Doug Aden,1
Morgan,US Representatives,District 7,,,1
Otero,US Representatives,District 7,ACN,Doug Aden,2
Otero,US Representatives,District 7,,,2
Phillips,US Representatives,District 7,ACN,Doug Aden,1
Phillips,US Representatives,District 7,,,1
Prowers,US Representatives,District 7,ACN,Doug Aden,0
Prowers,US Representatives,District 7,,,0
Sedgwick,US Representatives,District 7,ACN,Doug Aden,0
Sedgwick,US Representatives,District 7,,,0
Washington,US Representatives,District 7,ACN,Doug Aden,1
Washington,US Representatives,District 7,,,1
Weld,US Representatives,District 7,ACN,Doug Aden,64
Weld,US Representatives,District 7,,,64
Yuma,US Representatives,District 7,ACN,Doug Aden,5
Yuma,US Representatives,District 7,,,5
Chaffee,US Representatives,District 4,ACN,Kenneth R. Harvell,1
Chaffee,US Representatives,District 4,,,1
El Paso,US Representatives,District 4,ACN,Kenneth R. Harvell,101
El Paso,US Representatives,District 4,,,101
Fremont,US Representatives,District 4,ACN,Kenneth R. Harvell,17
Fremont,US Representatives,District 4,,,17
Park,US Representatives,District 4,ACN,Kenneth R. Harvell,7
Park,US Representatives,District 4,,,7
Teller,US Representatives,District 4,ACN,Kenneth R. Harvell,3
Teller,US Representatives,District 4,,,3
Adams,US Representatives,District 5,ACN,"Douglas ""Dayhorse"" Campbell",40
Adams,US Representatives,District 5,,,40
Jefferson,US Representatives,District 5,ACN,"Douglas ""Dayhorse"" Campbell",39
Jefferson,US Representatives,District 5,,,39
El Paso,State Senate,District 12,ACN,Christopher Mull,26
El Paso,State Senate,District 12,,,26
El Paso,State Senate,District 10,ACN,James Michael Bristol,27
El Paso,State Senate,District 10,,,27
El Paso,State Representatives,District 14,ACN,Thomas O'Dell,8
El Paso,State Representatives,District 14,,,8
El Paso,State Representatives,District 15,ACN,Michael Edstrom,13
El Paso,State Representatives,District 15,,,13
El Paso,State Representatives,District 16,ACN,David Rawe,16
El Paso,State Representatives,District 16,,,16
El Paso,State Representatives,District 17,ACN,Barry Forest Pace,13
El Paso,State Representatives,District 17,,,13
El Paso,State Representatives,District 18,ACN,Amy Fedde,11
El Paso,State Representatives,District 18,,,11
El Paso,State Representatives,District 19,ACN,Timothy Shawn Biolchini,22
El Paso,State Representatives,District 19,,,22
El Paso,State Representatives,District 21,ACN,Sean E. Halstead,15
El Paso,State Representatives,District 21,,,15
Delta,State Representatives,District 61,ACN,Robert E. Petrowsky,3
Delta,State Representatives,District 61,,,3
Gunnison,State Representatives,District 61,ACN,Robert E. Petrowsky,1
Gunnison,State Representatives,District 61,,,1
Lake,State Representatives,District 61,ACN,Robert E. Petrowsky,0
Lake,State Representatives,District 61,,,0
Pitkin,State Representatives,District 61,ACN,Robert E. Petrowsky,0
Pitkin,State Representatives,District 61,,,0
Summit,State Representatives,District 61,ACN,Robert E. Petrowsky,0
Summit,State Representatives,District 61,,,0
Adams,US Representatives,District 1,DEM,Diana DeGette,0
Adams,US Representatives,District 1,,,0
Arapahoe,US Representatives,District 1,DEM,Diana DeGette,1999
Arapahoe,US Representatives,District 1,,,1999
Denver,US Representatives,District 1,DEM,Diana DeGette,32891
Denver,US Representatives,District 1,,,32891
Jefferson,US Representatives,District 1,DEM,Diana DeGette,2182
Jefferson,US Representatives,District 1,,,2182
Adams,US Representatives,District 2,DEM,Jared Polis,0
Adams,US Representatives,District 2,,,0
Boulder,US Representatives,District 2,DEM,Jared Polis,18004
Boulder,US Representatives,District 2,,,18004
Broomfield,US Representatives,District 2,DEM,Jared Polis,2312
Broomfield,US Representatives,District 2,,,2312
Clear Creek,US Representatives,District 2,DEM,Jared Polis,669
Clear Creek,US Representatives,District 2,,,669
Eagle,US Representatives,District 2,DEM,Jared Polis,296
Eagle,US Representatives,District 2,,,296
Gilpin,US Representatives,District 2,DEM,Jared Polis,268
Gilpin,US Representatives,District 2,,,268
Grand,US Representatives,District 2,DEM,Jared Polis,532
Grand,US Representatives,District 2,,,532
Jefferson,US Representatives,District 2,DEM,Jared Polis,2966
Jefferson,US Representatives,District 2,,,2966
Larimer,US Representatives,District 2,DEM,Jared Polis,10369
Larimer,US Representatives,District 2,,,10369
Park,US Representatives,District 2,DEM,Jared Polis,224
Park,US Representatives,District 2,,,224
Summit,US Representatives,District 2,DEM,Jared Polis,457
Summit,US Representatives,District 2,,,457
Weld,US Representatives,District 2,DEM,Jared Polis,0
Weld,US Representatives,District 2,,,0
Alamosa,US Representatives,District 3,DEM,Sal Pace,847
Alamosa,US Representatives,District 3,,,847
Archuleta,US Representatives,District 3,DEM,Sal Pace,442
Archuleta,US Representatives,District 3,,,442
Conejos,US Representatives,District 3,DEM,Sal Pace,909
Conejos,US Representatives,District 3,,,909
Costilla,US Representatives,District 3,DEM,Sal Pace,704
Costilla,US Representatives,District 3,,,704
Custer,US Representatives,District 3,DEM,Sal Pace,114
Custer,US Representatives,District 3,,,114
Delta,US Representatives,District 3,DEM,Sal Pace,862
Delta,US Representatives,District 3,,,862
Dolores,US Representatives,District 3,DEM,Sal Pace,93
Dolores,US Representatives,District 3,,,93
Eagle,US Representatives,District 3,DEM,Sal Pace,626
Eagle,US Representatives,District 3,,,626
Garfield,US Representatives,District 3,DEM,Sal Pace,1305
Garfield,US Representatives,District 3,,,1305
Gunnison,US Representatives,District 3,DEM,Sal Pace,465
Gunnison,US Representatives,District 3,,,465
Hinsdale,US Representatives,District 3,DEM,Sal Pace,26
Hinsdale,US Representatives,District 3,,,26
Huerfano,US Representatives,District 3,DEM,Sal Pace,755
Huerfano,US Representatives,District 3,,,755
Jackson,US Representatives,District 3,DEM,Sal Pace,42
Jackson,US Representatives,District 3,,,42
La Plata,US Representatives,District 3,DEM,Sal Pace,2200
La Plata,US Representatives,District 3,,,2200
Lake,US Representatives,District 3,DEM,Sal Pace,361
Lake,US Representatives,District 3,,,361
Mesa,US Representatives,District 3,DEM,Sal Pace,4070
Mesa,US Representatives,District 3,,,4070
Mineral,US Representatives,District 3,DEM,Sal Pace,91
Mineral,US Representatives,District 3,,,91
Moffat,US Representatives,District 3,DEM,Sal Pace,210
Moffat,US Representatives,District 3,,,210
Montezuma,US Representatives,District 3,DEM,Sal Pace,771
Montezuma,US Representatives,District 3,,,771
Montrose,US Representatives,District 3,DEM,Sal Pace,1194
Montrose,US Representatives,District 3,,,1194
Ouray,US Representatives,District 3,DEM,Sal Pace,259
Ouray,US Representatives,District 3,,,259
Pitkin,US Representatives,District 3,DEM,Sal Pace,641
Pitkin,US Representatives,District 3,,,641
Pueblo,US Representatives,District 3,DEM,Sal Pace,14843
Pueblo,US Representatives,District 3,,,14843
Rio Blanco,US Representatives,District 3,DEM,Sal Pace,96
Rio Blanco,US Representatives,District 3,,,96
Rio Grande,US Representatives,District 3,DEM,Sal Pace,502
Rio Grande,US Representatives,District 3,,,502
Routt,US Representatives,District 3,DEM,Sal Pace,717
Routt,US Representatives,District 3,,,717
Saguache,US Representatives,District 3,DEM,Sal Pace,512
Saguache,US Representatives,District 3,,,512
