county,office,district,party,candidate,votes
ADAMS,U.S. Senate,,DEM,Julie Gonzales,32004
ADAMS,U.S. Senate,,DEM,John Hickenlooper,31783
ALAMOSA,U.S. Senate,,DEM,Julie Gonzales,763
ALAMOSA,U.S. Senate,,DEM,John Hickenlooper,969
ARAPAHOE,U.S. Senate,,DEM,Julie Gonzales,42707
ARAPAHOE,U.S. Senate,,DEM,John Hickenlooper,52705
ARCHULETA,U.S. Senate,,DEM,Julie Gonzales,627
ARCHULETA,U.S. Senate,,DEM,John Hickenlooper,1193
BACA,U.S. Senate,,DEM,Julie Gonzales,65
BACA,U.S. Senate,,DEM,John Hickenlooper,87
BENT,U.S. Senate,,DEM,Julie Gonzales,119
BENT,U.S. Senate,,DEM,John Hickenlooper,203
BOULDER,U.S. Senate,,DEM,Julie Gonzales,41430
BOULDER,U.S. Senate,,DEM,John Hickenlooper,43566
BROOMFIELD,U.S. Senate,,DEM,Julie Gonzales,7909
BROOMFIELD,U.S. Senate,,DEM,John Hickenlooper,8598
CHAFFEE,U.S. Senate,,DEM,Julie Gonzales,1911
CHAFFEE,U.S. Senate,,DEM,John Hickenlooper,2807
CHEYENNE,U.S. Senate,,DEM,Julie Gonzales,11
CHEYENNE,U.S. Senate,,DEM,John Hickenlooper,37
CLEAR CREEK,U.S. Senate,,DEM,Julie Gonzales,732
CLEAR CREEK,U.S. Senate,,DEM,John Hickenlooper,1029
CONEJOS,U.S. Senate,,DEM,Julie Gonzales,448
CONEJOS,U.S. Senate,,DEM,John Hickenlooper,673
COSTILLA,U.S. Senate,,DEM,Julie Gonzales,462
COSTILLA,U.S. Senate,,DEM,John Hickenlooper,506
CROWLEY,U.S. Senate,,DEM,Julie Gonzales,92
CROWLEY,U.S. Senate,,DEM,John Hickenlooper,139
CUSTER,U.S. Senate,,DEM,Julie Gonzales,267
CUSTER,U.S. Senate,,DEM,John Hickenlooper,390
DELTA,U.S. Senate,,DEM,Julie Gonzales,1376
DELTA,U.S. Senate,,DEM,John Hickenlooper,1942
DENVER,U.S. Senate,,DEM,Julie Gonzales,85897
DENVER,U.S. Senate,,DEM,John Hickenlooper,72270
DOLORES,U.S. Senate,,DEM,Julie Gonzales,53
DOLORES,U.S. Senate,,DEM,John Hickenlooper,97
DOUGLAS,U.S. Senate,,DEM,Julie Gonzales,21253
DOUGLAS,U.S. Senate,,DEM,John Hickenlooper,30636
EAGLE,U.S. Senate,,DEM,Julie Gonzales,2453
EAGLE,U.S. Senate,,DEM,John Hickenlooper,4963
EL PASO,U.S. Senate,,DEM,Julie Gonzales,37733
EL PASO,U.S. Senate,,DEM,John Hickenlooper,39464
ELBERT,U.S. Senate,,DEM,Julie Gonzales,906
ELBERT,U.S. Senate,,DEM,John Hickenlooper,1461
FREMONT,U.S. Senate,,DEM,Julie Gonzales,1626
FREMONT,U.S. Senate,,DEM,John Hickenlooper,2499
GARFIELD,U.S. Senate,,DEM,Julie Gonzales,2649
GARFIELD,U.S. Senate,,DEM,John Hickenlooper,4091
GILPIN,U.S. Senate,,DEM,Julie Gonzales,530
GILPIN,U.S. Senate,,DEM,John Hickenlooper,643
GRAND,U.S. Senate,,DEM,Julie Gonzales,935
GRAND,U.S. Senate,,DEM,John Hickenlooper,1462
GUNNISON,U.S. Senate,,DEM,Julie Gonzales,1351
GUNNISON,U.S. Senate,,DEM,John Hickenlooper,1848
HINSDALE,U.S. Senate,,DEM,Julie Gonzales,32
HINSDALE,U.S. Senate,,DEM,John Hickenlooper,71
HUERFANO,U.S. Senate,,DEM,Julie Gonzales,585
HUERFANO,U.S. Senate,,DEM,John Hickenlooper,652
JACKSON,U.S. Senate,,DEM,Julie Gonzales,10
JACKSON,U.S. Senate,,DEM,John Hickenlooper,23
JEFFERSON,U.S. Senate,,DEM,Julie Gonzales,52771
JEFFERSON,U.S. Senate,,DEM,John Hickenlooper,61132
KIOWA,U.S. Senate,,DEM,Julie Gonzales,18
KIOWA,U.S. Senate,,DEM,John Hickenlooper,28
KIT CARSON,U.S. Senate,,DEM,Julie Gonzales,87
KIT CARSON,U.S. Senate,,DEM,John Hickenlooper,181
LA PLATA,U.S. Senate,,DEM,Julie Gonzales,4431
LA PLATA,U.S. Senate,,DEM,John Hickenlooper,6076
LAKE,U.S. Senate,,DEM,Julie Gonzales,546
LAKE,U.S. Senate,,DEM,John Hickenlooper,622
LARIMER,U.S. Senate,,DEM,Julie Gonzales,31215
LARIMER,U.S. Senate,,DEM,John Hickenlooper,32881
LAS ANIMAS,U.S. Senate,,DEM,Julie Gonzales,883
LAS ANIMAS,U.S. Senate,,DEM,John Hickenlooper,1273
LINCOLN,U.S. Senate,,DEM,Julie Gonzales,79
LINCOLN,U.S. Senate,,DEM,John Hickenlooper,140
LOGAN,U.S. Senate,,DEM,Julie Gonzales,356
LOGAN,U.S. Senate,,DEM,John Hickenlooper,773
MESA,U.S. Senate,,DEM,Julie Gonzales,7456
MESA,U.S. Senate,,DEM,John Hickenlooper,9468
MINERAL,U.S. Senate,,DEM,Julie Gonzales,70
MINERAL,U.S. Senate,,DEM,John Hickenlooper,118
MOFFAT,U.S. Senate,,DEM,Julie Gonzales,188
MOFFAT,U.S. Senate,,DEM,John Hickenlooper,311
MONTEZUMA,U.S. Senate,,DEM,Julie Gonzales,1277
MONTEZUMA,U.S. Senate,,DEM,John Hickenlooper,1569
MONTROSE,U.S. Senate,,DEM,Julie Gonzales,2061
MONTROSE,U.S. Senate,,DEM,John Hickenlooper,2368
MORGAN,U.S. Senate,,DEM,Julie Gonzales,614
MORGAN,U.S. Senate,,DEM,John Hickenlooper,900
OTERO,U.S. Senate,,DEM,Julie Gonzales,616
OTERO,U.S. Senate,,DEM,John Hickenlooper,984
OURAY,U.S. Senate,,DEM,Julie Gonzales,505
OURAY,U.S. Senate,,DEM,John Hickenlooper,783
PARK,U.S. Senate,,DEM,Julie Gonzales,956
PARK,U.S. Senate,,DEM,John Hickenlooper,1382
PHILLIPS,U.S. Senate,,DEM,Julie Gonzales,74
PHILLIPS,U.S. Senate,,DEM,John Hickenlooper,122
PITKIN,U.S. Senate,,DEM,Julie Gonzales,1038
PITKIN,U.S. Senate,,DEM,John Hickenlooper,2888
PROWERS,U.S. Senate,,DEM,Julie Gonzales,215
PROWERS,U.S. Senate,,DEM,John Hickenlooper,368
PUEBLO,U.S. Senate,,DEM,Julie Gonzales,9483
PUEBLO,U.S. Senate,,DEM,John Hickenlooper,13399
RIO BLANCO,U.S. Senate,,DEM,Julie Gonzales,56
RIO BLANCO,U.S. Senate,,DEM,John Hickenlooper,95
RIO GRANDE,U.S. Senate,,DEM,Julie Gonzales,490
RIO GRANDE,U.S. Senate,,DEM,John Hickenlooper,732
ROUTT,U.S. Senate,,DEM,Julie Gonzales,1450
ROUTT,U.S. Senate,,DEM,John Hickenlooper,3138
SAGUACHE,U.S. Senate,,DEM,Julie Gonzales,496
SAGUACHE,U.S. Senate,,DEM,John Hickenlooper,531
SAN JUAN,U.S. Senate,,DEM,Julie Gonzales,66
SAN JUAN,U.S. Senate,,DEM,John Hickenlooper,77
SAN MIGUEL,U.S. Senate,,DEM,Julie Gonzales,630
SAN MIGUEL,U.S. Senate,,DEM,John Hickenlooper,910
SEDGWICK,U.S. Senate,,DEM,Julie Gonzales,46
SEDGWICK,U.S. Senate,,DEM,John Hickenlooper,78
SUMMIT,U.S. Senate,,DEM,Julie Gonzales,1858
SUMMIT,U.S. Senate,,DEM,John Hickenlooper,3347
TELLER,U.S. Senate,,DEM,Julie Gonzales,1112
TELLER,U.S. Senate,,DEM,John Hickenlooper,1678
WASHINGTON,U.S. Senate,,DEM,Julie Gonzales,55
WASHINGTON,U.S. Senate,,DEM,John Hickenlooper,118
WELD,U.S. Senate,,DEM,Julie Gonzales,14257
WELD,U.S. Senate,,DEM,John Hickenlooper,17362
YUMA,U.S. Senate,,DEM,Julie Gonzales,97
YUMA,U.S. Senate,,DEM,John Hickenlooper,231
ARAPAHOE,U.S. House,1,DEM,Melat Kiros,667
ARAPAHOE,U.S. House,1,DEM,Diana DeGette,565
ARAPAHOE,U.S. House,1,DEM,Wanda James,93
DENVER,U.S. House,1,DEM,Melat Kiros,83188
DENVER,U.S. House,1,DEM,Diana DeGette,62150
DENVER,U.S. House,1,DEM,Wanda James,10982
JEFFERSON,U.S. House,1,DEM,Melat Kiros,0
