county,office,district,party,candidate,votes
ADAMS,U.S. Senate,,Democratic Party,Andrew Romanoff,27254
ALAMOSA,U.S. Senate,,Democratic Party,Andrew Romanoff,927
ARAPAHOE,U.S. Senate,,Democratic Party,Andrew Romanoff,47231
ARCHULETA,U.S. Senate,,Democratic Party,Andrew Romanoff,592
BACA,U.S. Senate,,Democratic Party,Andrew Romanoff,107
BENT,U.S. Senate,,Democratic Party,Andrew Romanoff,176
BOULDER,U.S. Senate,,Democratic Party,Andrew Romanoff,48751
BROOMFIELD,U.S. Senate,,Democratic Party,Andrew Romanoff,7471
CHAFFEE,U.S. Senate,,Democratic Party,Andrew Romanoff,1736
CHEYENNE,U.S. Senate,,Democratic Party,Andrew Romanoff,32
CLEAR CREEK,U.S. Senate,,Democratic Party,Andrew Romanoff,843
CONEJOS,U.S. Senate,,Democratic Party,Andrew Romanoff,530
COSTILLA,U.S. Senate,,Democratic Party,Andrew Romanoff,454
CROWLEY,U.S. Senate,,Democratic Party,Andrew Romanoff,75
CUSTER,U.S. Senate,,Democratic Party,Andrew Romanoff,218
DELTA,U.S. Senate,,Democratic Party,Andrew Romanoff,1469
DENVER,U.S. Senate,,Democratic Party,Andrew Romanoff,87547
DOLORES,U.S. Senate,,Democratic Party,Andrew Romanoff,88
DOUGLAS,U.S. Senate,,Democratic Party,Andrew Romanoff,18816
EAGLE,U.S. Senate,,Democratic Party,Andrew Romanoff,3040
EL PASO,U.S. Senate,,Democratic Party,Andrew Romanoff,28563
ELBERT,U.S. Senate,,Democratic Party,Andrew Romanoff,1021
FREMONT,U.S. Senate,,Democratic Party,Andrew Romanoff,1634
GARFIELD,U.S. Senate,,Democratic Party,Andrew Romanoff,2768
GILPIN,U.S. Senate,,Democratic Party,Andrew Romanoff,584
GRAND,U.S. Senate,,Democratic Party,Andrew Romanoff,831
GUNNISON,U.S. Senate,,Democratic Party,Andrew Romanoff,1482
HINSDALE,U.S. Senate,,Democratic Party,Andrew Romanoff,30
HUERFANO,U.S. Senate,,Democratic Party,Andrew Romanoff,622
JACKSON,U.S. Senate,,Democratic Party,Andrew Romanoff,28
JEFFERSON,U.S. Senate,,Democratic Party,Andrew Romanoff,52488
KIOWA,U.S. Senate,,Democratic Party,Andrew Romanoff,34
KIT CARSON,U.S. Senate,,Democratic Party,Andrew Romanoff,126
LA PLATA,U.S. Senate,,Democratic Party,Andrew Romanoff,3633
LAKE,U.S. Senate,,Democratic Party,Andrew Romanoff,560
LARIMER,U.S. Senate,,Democratic Party,Andrew Romanoff,27681
LAS ANIMAS,U.S. Senate,,Democratic Party,Andrew Romanoff,913
LINCOLN,U.S. Senate,,Democratic Party,Andrew Romanoff,98
LOGAN,U.S. Senate,,Democratic Party,Andrew Romanoff,544
MESA,U.S. Senate,,Democratic Party,Andrew Romanoff,6134
MINERAL,U.S. Senate,,Democratic Party,Andrew Romanoff,80
MOFFAT,U.S. Senate,,Democratic Party,Andrew Romanoff,213
MONTEZUMA,U.S. Senate,,Democratic Party,Andrew Romanoff,1102
MONTROSE,U.S. Senate,,Democratic Party,Andrew Romanoff,1690
MORGAN,U.S. Senate,,Democratic Party,Andrew Romanoff,694
OTERO,U.S. Senate,,Democratic Party,Andrew Romanoff,628
OURAY,U.S. Senate,,Democratic Party,Andrew Romanoff,667
PARK,U.S. Senate,,Democratic Party,Andrew Romanoff,1000
PHILLIPS,U.S. Senate,,Democratic Party,Andrew Romanoff,100
PITKIN,U.S. Senate,,Democratic Party,Andrew Romanoff,1369
PROWERS,U.S. Senate,,Democratic Party,Andrew Romanoff,290
PUEBLO,U.S. Senate,,Democratic Party,Andrew Romanoff,9396
RIO BLANCO,U.S. Senate,,Democratic Party,Andrew Romanoff,81
RIO GRANDE,U.S. Senate,,Democratic Party,Andrew Romanoff,479
ROUTT,U.S. Senate,,Democratic Party,Andrew Romanoff,1575
SAGUACHE,U.S. Senate,,Democratic Party,Andrew Romanoff,694
SAN JUAN,U.S. Senate,,Democratic Party,Andrew Romanoff,50
SAN MIGUEL,U.S. Senate,,Democratic Party,Andrew Romanoff,916
SEDGWICK,U.S. Senate,,Democratic Party,Andrew Romanoff,70
SUMMIT,U.S. Senate,,Democratic Party,Andrew Romanoff,2054
TELLER,U.S. Senate,,Democratic Party,Andrew Romanoff,889
WASHINGTON,U.S. Senate,,Democratic Party,Andrew Romanoff,69
WELD,U.S. Senate,,Democratic Party,Andrew Romanoff,11477
YUMA,U.S. Senate,,Democratic Party,Andrew Romanoff,241
ADAMS,U.S. Senate,,Democratic Party,John W. Hickenlooper,39364
ALAMOSA,U.S. Senate,,Democratic Party,John W. Hickenlooper,1535
ARAPAHOE,U.S. Senate,,Democratic Party,John W. Hickenlooper,69835
ARCHULETA,U.S. Senate,,Democratic Party,John W. Hickenlooper,1355
BACA,U.S. Senate,,Democratic Party,John W. Hickenlooper,132
BENT,U.S. Senate,,Democratic Party,John W. Hickenlooper,274
BOULDER,U.S. Senate,,Democratic Party,John W. Hickenlooper,52282
BROOMFIELD,U.S. Senate,,Democratic Party,John W. Hickenlooper,9550
CHAFFEE,U.S. Senate,,Democratic Party,John W. Hickenlooper,2852
CHEYENNE,U.S. Senate,,Democratic Party,John W. Hickenlooper,46
CLEAR CREEK,U.S. Senate,,Democratic Party,John W. Hickenlooper,1279
CONEJOS,U.S. Senate,,Democratic Party,John W. Hickenlooper,974
COSTILLA,U.S. Senate,,Democratic Party,John W. Hickenlooper,714
CROWLEY,U.S. Senate,,Democratic Party,John W. Hickenlooper,187
CUSTER,U.S. Senate,,Democratic Party,John W. Hickenlooper,425
DELTA,U.S. Senate,,Democratic Party,John W. Hickenlooper,2065
DENVER,U.S. Senate,,Democratic Party,John W. Hickenlooper,99976
DOLORES,U.S. Senate,,Democratic Party,John W. Hickenlooper,96
DOUGLAS,U.S. Senate,,Democratic Party,John W. Hickenlooper,34057
EAGLE,U.S. Senate,,Democratic Party,John W. Hickenlooper,6116
EL PASO,U.S. Senate,,Democratic Party,John W. Hickenlooper,47828
ELBERT,U.S. Senate,,Democratic Party,John W. Hickenlooper,1616
FREMONT,U.S. Senate,,Democratic Party,John W. Hickenlooper,2506
GARFIELD,U.S. Senate,,Democratic Party,John W. Hickenlooper,4861
GILPIN,U.S. Senate,,Democratic Party,John W. Hickenlooper,739
GRAND,U.S. Senate,,Democratic Party,John W. Hickenlooper,1583
GUNNISON,U.S. Senate,,Democratic Party,John W. Hickenlooper,1985
HINSDALE,U.S. Senate,,Democratic Party,John W. Hickenlooper,86
HUERFANO,U.S. Senate,,Democratic Party,John W. Hickenlooper,944
JACKSON,U.S. Senate,,Democratic Party,John W. Hickenlooper,53
JEFFERSON,U.S. Senate,,Democratic Party,John W. Hickenlooper,77250
KIOWA,U.S. Senate,,Democratic Party,John W. Hickenlooper,51
KIT CARSON,U.S. Senate,,Democratic Party,John W. Hickenlooper,219
LA PLATA,U.S. Senate,,Democratic Party,John W. Hickenlooper,6937
LAKE,U.S. Senate,,Democratic Party,John W. Hickenlooper,678
LARIMER,U.S. Senate,,Democratic Party,John W. Hickenlooper,39417
LAS ANIMAS,U.S. Senate,,Democratic Party,John W. Hickenlooper,1507
LINCOLN,U.S. Senate,,Democratic Party,John W. Hickenlooper,174
LOGAN,U.S. Senate,,Democratic Party,John W. Hickenlooper,935
MESA,U.S. Senate,,Democratic Party,John W. Hickenlooper,10194
MINERAL,U.S. Senate,,Democratic Party,John W. Hickenlooper,142
MOFFAT,U.S. Senate,,Democratic Party,John W. Hickenlooper,327
MONTEZUMA,U.S. Senate,,Democratic Party,John W. Hickenlooper,1809
MONTROSE,U.S. Senate,,Democratic Party,John W. Hickenlooper,2628
MORGAN,U.S. Senate,,Democratic Party,John W. Hickenlooper,1158
OTERO,U.S. Senate,,Democratic Party,John W. Hickenlooper,1348
OURAY,U.S. Senate,,Democratic Party,John W. Hickenlooper,882
PARK,U.S. Senate,,Democratic Party,John W. Hickenlooper,1647
PHILLIPS,U.S. Senate,,Democratic Party,John W. Hickenlooper,180
PITKIN,U.S. Senate,,Democratic Party,John W. Hickenlooper,3123
PROWERS,U.S. Senate,,Democratic Party,John W. Hickenlooper,501
PUEBLO,U.S. Senate,,Democratic Party,John W. Hickenlooper,17270
RIO BLANCO,U.S. Senate,,Democratic Party,John W. Hickenlooper,137
RIO GRANDE,U.S. Senate,,Democratic Party,John W. Hickenlooper,909
ROUTT,U.S. Senate,,Democratic Party,John W. Hickenlooper,4076
SAGUACHE,U.S. Senate,,Democratic Party,John W. Hickenlooper,604
SAN JUAN,U.S. Senate,,Democratic Party,John W. Hickenlooper,122
SAN MIGUEL,U.S. Senate,,Democratic Party,John W. Hickenlooper,1059
SEDGWICK,U.S. Senate,,Democratic Party,John W. Hickenlooper,110
SUMMIT,U.S. Senate,,Democratic Party,John W. Hickenlooper,4073
TELLER,U.S. Senate,,Democratic Party,John W. Hickenlooper,1744
WASHINGTON,U.S. Senate,,Democratic Party,John W. Hickenlooper,121
WELD,U.S. Senate,,Democratic Party,John W. Hickenlooper,18871
YUMA,U.S. Senate,,Democratic Party,John W. Hickenlooper,308
