county,office,district,party,candidate,votes
Adams,President,,DEM,Cory Booker,92
Alamosa,President,,DEM,Cory Booker,2
Arapahoe,President,,DEM,Cory Booker,157
Archuleta,President,,DEM,Cory Booker,4
Baca,President,,DEM,Cory Booker,7
Bent,President,,DEM,Cory Booker,1
Boulder,President,,DEM,Cory Booker,76
Broomfield,President,,DEM,Cory Booker,5
Chaffee,President,,DEM,Cory Booker,1
Cheyenne,President,,DEM,Cory Booker,0
Clear Creek,President,,DEM,Cory Booker,1
Conejos,President,,DEM,Cory Booker,2
Costilla,President,,DEM,Cory Booker,1
Crowley,President,,DEM,Cory Booker,1
Custer,President,,DEM,Cory Booker,2
Delta,President,,DEM,Cory Booker,8
Denver,President,,DEM,Cory Booker,206
Dolores,President,,DEM,Cory Booker,0
Douglas,President,,DEM,Cory Booker,53
Eagle,President,,DEM,Cory Booker,7
El Paso,President,,DEM,Cory Booker,146
Elbert,President,,DEM,Cory Booker,0
Fremont,President,,DEM,Cory Booker,13
Garfield,President,,DEM,Cory Booker,7
Gilpin,President,,DEM,Cory Booker,2
Grand,President,,DEM,Cory Booker,5
Gunnison,President,,DEM,Cory Booker,3
Hinsdale,President,,DEM,Cory Booker,0
Huerfano,President,,DEM,Cory Booker,7
Jackson,President,,DEM,Cory Booker,0
Jefferson,President,,DEM,Cory Booker,123
Kiowa,President,,DEM,Cory Booker,0
Kit Carson,President,,DEM,Cory Booker,0
La Plata,President,,DEM,Cory Booker,6
Lake,President,,DEM,Cory Booker,3
Larimer,President,,DEM,Cory Booker,68
Las Animas,President,,DEM,Cory Booker,10
Lincoln,President,,DEM,Cory Booker,1
Logan,President,,DEM,Cory Booker,9
Mesa,President,,DEM,Cory Booker,42
Mineral,President,,DEM,Cory Booker,0
Moffat,President,,DEM,Cory Booker,5
Montezuma,President,,DEM,Cory Booker,6
Montrose,President,,DEM,Cory Booker,10
Morgan,President,,DEM,Cory Booker,5
Otero,President,,DEM,Cory Booker,6
Ouray,President,,DEM,Cory Booker,3
Park,President,,DEM,Cory Booker,0
Phillips,President,,DEM,Cory Booker,2
Pitkin,President,,DEM,Cory Booker,3
Prowers,President,,DEM,Cory Booker,8
