county,precinct,office,district,candidate,party,votes,total_ballots,reg_voters
Dolores,1,U.S. Senate,,Mark Udall,DEM,81,125,258
Dolores,1,U.S. Senate,,Cory Gardner,REP,32,125,258
Dolores,1,U.S. Senate,,Gaylon Kent,LIB,3,125,258
Dolores,1,U.S. Senate,,Raul Acosta,UNA,3,125,258
Dolores,1,U.S. Senate,,Bill Hammons,UNI,2,125,258
Dolores,1,U.S. Senate,,Steve Shogan,UNA,0,125,258
Dolores,1,Rep. To The 114th U.S. Congress - District 3,3,Scott R. Tipton,REP,39,125,258
Dolores,1,Rep. To The 114th U.S. Congress- District 3,3,Abel J. Tapia,DEM,69,125,258
Dolores,1,Rep. To The 114th U.S. Congress- District 3,3,Travis Mero,LIB,5,125,258
Dolores,1,Rep. To The 114th U.S. Congress - District 3,3,Tisha T. Casida,UNA,8,125,258
Dolores,1,Governor/Lieutenant Governor,,Bob Beauprez I Jill Repella,REP,29,125,258
Dolores,1,Governor/Lieutenant Governor,,John Hickenlooper I Joe Garcia,DEM,88,125,258
Dolores,1,Governor/Lieutenant Governor,,Harry Hempy I Scott Olson,GRN,0,125,258
Dolores,1,Governor/Lieutenant Governor,,Matthew Hess I Brandon Young,LIB,1,125,258
Dolores,1,Governor/Lieutenant Governor,,Mike DunafonIRobin J. Roberts,UNA,2,125,258
Dolores,1,Governor/Lieutenant Governor,,Paul Noel Fiorino I Charles George Whitley,UNA,0,125,258
Dolores,1,Secretary of State,,Joe Neguse,DEM,72,125,258
Dolores,1,Secretary of State,,Wayne W. Williams,REP,31,125,258
Dolores,1,Secretary of State,,Amanda Campbell,ACP,4,125,258
Dolores,1,Secretary of State,,Dave Schambach,LIB,6,125,258
Dolores,1,State Treasurer,,Walker Stapleton,REP,34,125,258
Dolores,1,State Treasurer,,Betsy Markey,DEM,69,125,258
Dolores,1,State Treasurer,,David Jurist,LIB,11,125,258
Dolores,1,Attorney General,,Don Quick,DEM,64,125,258
Dolores,1,Attorney General,,Cynthia Coffman,REP,36,125,258
Dolores,1,Attorney General,,David K. Williams,LIB,14,125,258
Dolores,1,St Board of Ed. - Congressional District 3,3,Henry C. Roman,DEM,72,125,258
Dolores,1,St Board of Ed.- Congressional District 3,3,Marcia Neal,REP,39,125,258
Dolores,1,State Senate- District 6,6,Ellen S. Roberts,REP,66,125,258
Dolores,1,State Representative - District 58,58,Don Coram,REP,59,125,258
Dolores,1,County Commissioner- District 1,1,Julie R. Kibei,REP,71,125,258
Dolores,1,County Clerk and Recorder,,LaRita Randolph,REP,79,125,258
Dolores,1,County Treasurer,,Janie Stiasny,DEM,88,125,258
Dolores,1,County Assessor,,Berna Ernst,DEM,88,125,258
Dolores,1,County Sheriff,,Jerry D. Martin,UNA,88,125,258
Dolores,1,County Coroner,,Tom Myers,DEM,83,125,258
Dolores,1,Brian D. Boatright,,Yes,,62,125,258
