county,precinct,office,district,candidate,votes
Douglas,Precinct 106,U.S. House,4,Karen McCormick,64
Douglas,Precinct 106,U.S. House,4,Ken Buck,160
Douglas,Precinct 106,U.S. House,4,Write-in,0
Douglas,Precinct 106,U.S. House,4,Total,224
Douglas,Precinct 106,Governor,,Jar Pol / Dia Pri,59
Douglas,Precinct 106,Governor,,Wal Sta / Lang Sias,159
Douglas,Precinct 106,Governor,,Bil Ham / Eri Bod,(< 25)
Douglas,Precinct 106,Governor,,Sco Hel / Mic Poague,(< 25)
Douglas,Precinct 106,Governor,,Total,226
Douglas,Precinct 106,Secretary of State,,Wayne Williams,153
Douglas,Precinct 106,Secretary of State,,Jena Griswold,59
Douglas,Precinct 106,Secretary of State,,Amanda Campbell,(< 25)
Douglas,Precinct 106,Secretary of State,,Blake Huber,(< 25)
Douglas,Precinct 106,Secretary of State,,Total,222
Douglas,Precinct 106,State Treasurer,,Brian Watson,151
Douglas,Precinct 106,State Treasurer,,Dave Young,60
Douglas,Precinct 106,State Treasurer,,Gerald F. Kilpatrick,(< 25)
Douglas,Precinct 106,State Treasurer,,Total,221
Douglas,Precinct 106,Attorney General,,Phil Weiser,56
Douglas,Precinct 106,Attorney General,,George Brauchler,154
Douglas,Precinct 106,Attorney General,,Wil F. Robinson III,(< 25)
Douglas,Precinct 106,Attorney General,,Total,222
Douglas,Precinct 106,State Board of Education Member - Congressional District 4,,Tim Krug,58
Douglas,Precinct 106,State Board of Education Member - Congressional District 4,,Debora L. Scheffel,158
Douglas,Precinct 106,State Board of Education Member - Congressional District 4,,Total,216
Douglas,Precinct 106,Regent of the University of Colorado - At Large,,Lesley Smith,57
Douglas,Precinct 106,Regent of the University of Colorado - At Large,,Ken Montera,140
Douglas,Precinct 106,Regent of the University of Colorado - At Large,,Chr E. Otwell,(< 25)
Douglas,Precinct 106,Regent of the University of Colorado - At Large,,James K. Treibert,(< 25)
Douglas,Precinct 106,Regent of the University of Colorado - At Large,,Total,212
Douglas,Precinct 106,State Representative,39,Mark Baisley,155
Douglas,Precinct 106,State Representative,39,Kamala Vanderkolk,56
Douglas,Precinct 106,State Representative,39,Tony Gross,(< 25)
Douglas,Precinct 106,State Representative,39,Total,220
Douglas,Precinct 106,Douglas County Commissioner - District 1,,Abe Laydon,156
Douglas,Precinct 106,Douglas County Commissioner - District 1,,Mary Lynch,61
Douglas,Precinct 106,Douglas County Commissioner - District 1,,Total,217
Douglas,Precinct 106,Douglas County Clerk and Recorder,,Merlin Klotz,143
Douglas,Precinct 106,Douglas County Clerk and Recorder,,Carol Johnson,68
Douglas,Precinct 106,Douglas County Clerk and Recorder,,Total,211
Douglas,Precinct 106,Douglas County Treasurer,,Dave Gill,159
Douglas,Precinct 106,Douglas County Treasurer,,Angie Hicks,57
Douglas,Precinct 106,Douglas County Treasurer,,Total,216
Douglas,Precinct 106,Douglas County Assessor,,Lisa Frizell,154
Douglas,Precinct 106,Douglas County Assessor,,Shenika Carter,57
Douglas,Precinct 106,Douglas County Assessor,,Total,211
Douglas,Precinct 106,Douglas County Sheriff,,Tony Spurlock,168
Douglas,Precinct 106,Douglas County Sheriff,,Total,168
Douglas,Precinct 106,Douglas County Surveyor,,Robert D. Snodgrass,162
Douglas,Precinct 106,Douglas County Surveyor,,Total,162
Douglas,Precinct 106,Douglas County Coroner,,Jill E. Romann,146
Douglas,Precinct 106,Douglas County Coroner,,Sydney Ludwick,58
Douglas,Precinct 106,Douglas County Coroner,,Total,204
Douglas,Precinct 106,Colorado Supreme Court Justice - Gabriel,,Yes,109
Douglas,Precinct 106,Colorado Supreme Court Justice - Gabriel,,No,62
Douglas,Precinct 106,Colorado Supreme Court Justice - Gabriel,,Total,171
Douglas,Precinct 106,Colorado Court of Appeals Judge - Dailey,,Yes,108
Douglas,Precinct 106,Colorado Court of Appeals Judge - Dailey,,No,61
Douglas,Precinct 106,Colorado Court of Appeals Judge - Dailey,,Total,169
Douglas,Precinct 106,Colorado Court of Appeals Judge - Freyre,,Yes,101
Douglas,Precinct 106,Colorado Court of Appeals Judge - Freyre,,No,71
Douglas,Precinct 106,Colorado Court of Appeals Judge - Freyre,,Total,172
Douglas,Precinct 106,Colorado Court of Appeals Judge - Harris,,Yes,86
Douglas,Precinct 106,Colorado Court of Appeals Judge - Harris,,No,86
Douglas,Precinct 106,Colorado Court of Appeals Judge - Harris,,Total,172
Douglas,Precinct 106,Colorado Court of Appeals Judge - Richman,,Yes,107
Douglas,Precinct 106,Colorado Court of Appeals Judge - Richman,,No,64
Douglas,Precinct 106,Colorado Court of Appeals Judge - Richman,,Total,171
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Douglass,,Yes,81
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Douglass,,No,89
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Douglass,,Total,170
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Herron,,Yes,109
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Herron,,No,61
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Herron,,Total,170
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Kramer,,Yes,107
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Kramer,,No,60
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Kramer,,Total,167
Douglas,Precinct 106,District Court Judge - 18th Judicial Distric - Leutwyler III,,Yes,103
Douglas,Precinct 106,District Court Judge - 18th Judicial Distric - Leutwyler III,,No,64
Douglas,Precinct 106,District Court Judge - 18th Judicial Distric - Leutwyler III,,Total,167
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Lung,,Yes,101
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Lung,,No,65
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Lung,,Total,166
Douglas,Precinct 106,District Court Judge - 18th Judicial District - McLean,,Yes,112
Douglas,Precinct 106,District Court Judge - 18th Judicial District - McLean,,No,58
Douglas,Precinct 106,District Court Judge - 18th Judicial District - McLean,,Total,170
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Michaelson,,Yes,97
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Michaelson,,No,70
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Michaelson,,Total,167
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Spear,,Yes,95
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Spear,,No,71
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Spear,,Total,166
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Whitaker,,Yes,107
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Whitaker,,No,59
Douglas,Precinct 106,District Court Judge - 18th Judicial District - Whitaker,,Total,166
Douglas,Precinct 106,Douglas County Court Judge - Bowling,,Yes,108
Douglas,Precinct 106,Douglas County Court Judge - Bowling,,No,59
Douglas,Precinct 106,Douglas County Court Judge - Bowling,,Total,167
Douglas,Precinct 106,Douglas County Court Judge - Gomez,,Yes,110
Douglas,Precinct 106,Douglas County Court Judge - Gomez,,No,61
Douglas,Precinct 106,Douglas County Court Judge - Gomez,,Total,171
Douglas,Precinct 106,Douglas County Court Judge - Meissner-Cutler,,Yes,115
Douglas,Precinct 106,Douglas County Court Judge - Meissner-Cutler,,No,53
Douglas,Precinct 106,Douglas County Court Judge - Meissner-Cutler,,Total,168
Douglas,Precinct 106,Amendment V (CONSTITUTIONAL),,Yes/For,41
Douglas,Precinct 106,Amendment V (CONSTITUTIONAL),,No/Against,185
Douglas,Precinct 106,Amendment V (CONSTITUTIONAL),,Total,226
Douglas,Precinct 106,Amendment W (CONSTITUTIONAL),,Yes/For,86
Douglas,Precinct 106,Amendment W (CONSTITUTIONAL),,No/Against,132
Douglas,Precinct 106,Amendment W (CONSTITUTIONAL),,Total,218
Douglas,Precinct 106,Amendment X (CONSTITUTIONAL),,Yes/For,118
Douglas,Precinct 106,Amendment X (CONSTITUTIONAL),,No/Against,96
Douglas,Precinct 106,Amendment X (CONSTITUTIONAL),,Total,214
Douglas,Precinct 106,Amendment Y (CONSTITUTIONAL),,Yes/For,143
Douglas,Precinct 106,Amendment Y (CONSTITUTIONAL),,No/Against,75
Douglas,Precinct 106,Amendment Y (CONSTITUTIONAL),,Total,218
Douglas,Precinct 106,Amendment Z (CONSTITUTIONAL),,Yes/For,132
Douglas,Precinct 106,Amendment Z (CONSTITUTIONAL),,No/Against,84
Douglas,Precinct 106,Amendment Z (CONSTITUTIONAL),,Total,216
Douglas,Precinct 106,Amendment A (CONSTITUTIONAL),,Yes/For,109
Douglas,Precinct 106,Amendment A (CONSTITUTIONAL),,No/Against,107
Douglas,Precinct 106,Amendment A (CONSTITUTIONAL),,Total,216
Douglas,Precinct 106,Amendment 73 (CONSTITUTIONAL),,Yes/For,55
Douglas,Precinct 106,Amendment 73 (CONSTITUTIONAL),,No/Against,173
Douglas,Precinct 106,Amendment 73 (CONSTITUTIONAL),,Total,228
Douglas,Precinct 106,Amendment 74 (CONSTITUTIONAL),,Yes/For,135
Douglas,Precinct 106,Amendment 74 (CONSTITUTIONAL),,No/Against,91
Douglas,Precinct 106,Amendment 74 (CONSTITUTIONAL),,Total,226
Douglas,Precinct 106,Amendment 75 (CONSTITUTIONAL),,Yes/For,57
Douglas,Precinct 106,Amendment 75 (CONSTITUTIONAL),,No/Against,163
Douglas,Precinct 106,Amendment 75 (CONSTITUTIONAL),,Total,220
Douglas,Precinct 106,Proposition 109 (STATUTORY),,Yes/For,85
Douglas,Precinct 106,Proposition 109 (STATUTORY),,No/Against,146
Douglas,Precinct 106,Proposition 109 (STATUTORY),,Total,231
Douglas,Precinct 106,Proposition 110 (STATUTORY),,Yes/For,46
Douglas,Precinct 106,Proposition 110 (STATUTORY),,No/Against,178
Douglas,Precinct 106,Proposition 110 (STATUTORY),,Total,224
Douglas,Precinct 106,Proposition 111 (STATUTORY),,Yes/For,155
Douglas,Precinct 106,Proposition 111 (STATUTORY),,No/Against,74
Douglas,Precinct 106,Proposition 111 (STATUTORY),,Total,229
Douglas,Precinct 106,Proposition 112 (STATUTORY),,Yes/For,74
Douglas,Precinct 106,Proposition 112 (STATUTORY),,No/Against,157
Douglas,Precinct 106,Proposition 112 (STATUTORY),,Total,231
Douglas,Precinct 106,Douglas County School District RE-1 Ballot Issue 5A,,Yes/For,85
Douglas,Precinct 106,Douglas County School District RE-1 Ballot Issue 5A,,No/Against,140
Douglas,Precinct 106,Douglas County School District RE-1 Ballot Issue 5A,,Total,225
Douglas,Precinct 106,Douglas County School District RE-1 Ballot Issue 5B,,Yes/For,78
Douglas,Precinct 106,Douglas County School District RE-1 Ballot Issue 5B,,No/Against,146
Douglas,Precinct 106,Douglas County School District RE-1 Ballot Issue 5B,,Total,224
Douglas,Precinct 106,North Fork Fire Protection District Ballot Issue 7D,,Yes/For,(< 25)
Douglas,Precinct 106,North Fork Fire Protection District Ballot Issue 7D,,No/Against,(< 25)
Douglas,Precinct 106,North Fork Fire Protection District Ballot Issue 7D,,Total,(< 25)
Douglas,Precinct 107,U.S. House,4,Karen McCormick,220
Douglas,Precinct 107,U.S. House,4,Ken Buck,422
Douglas,Precinct 107,U.S. House,4,Write-in,(< 25)
Douglas,Precinct 107,U.S. House,4,Total,643
Douglas,Precinct 107,Governor,,Jar Pol / Dia Pri,210
Douglas,Precinct 107,Governor,,Wal Sta / Lang Sias,414
Douglas,Precinct 107,Governor,,Bil Ham / Eri Bod,(< 25)
Douglas,Precinct 107,Governor,,Sco Hel / Mic Poague,(< 25)
Douglas,Precinct 107,Governor,,Total,643
Douglas,Precinct 107,Secretary of State,,Wayne Williams,409
Douglas,Precinct 107,Secretary of State,,Jena Griswold,219
Douglas,Precinct 107,Secretary of State,,Amanda Campbell,(< 25)
Douglas,Precinct 107,Secretary of State,,Blake Huber,(< 25)
Douglas,Precinct 107,Secretary of State,,Total,644
Douglas,Precinct 107,State Treasurer,,Brian Watson,418
Douglas,Precinct 107,State Treasurer,,Dave Young,199
Douglas,Precinct 107,State Treasurer,,Gerald F. Kilpatrick,(< 25)
Douglas,Precinct 107,State Treasurer,,Total,639
