county,precinct,office,district,candidate,votes
Douglas,Precinct 107,Attorney General,,Phil Weiser,204
Douglas,Precinct 107,Attorney General,,George Brauchler,416
Douglas,Precinct 107,Attorney General,,Wil F. Robinson III,(< 25)
Douglas,Precinct 107,Attorney General,,Total,643
Douglas,Precinct 107,State Board of Education Member - Congressional District 4,,Tim Krug,215
Douglas,Precinct 107,State Board of Education Member - Congressional District 4,,Debora L. Scheffel,418
Douglas,Precinct 107,State Board of Education Member - Congressional District 4,,Total,633
Douglas,Precinct 107,Regent of the University of Colorado - At Large,,Lesley Smith,191
Douglas,Precinct 107,Regent of the University of Colorado - At Large,,Ken Montera,396
Douglas,Precinct 107,Regent of the University of Colorado - At Large,,Chr E. Otwell,(< 25)
Douglas,Precinct 107,Regent of the University of Colorado - At Large,,James K. Treibert,26
Douglas,Precinct 107,Regent of the University of Colorado - At Large,,Total,623
Douglas,Precinct 107,State Representative,39,Mark Baisley,414
Douglas,Precinct 107,State Representative,39,Kamala Vanderkolk,199
Douglas,Precinct 107,State Representative,39,Tony Gross,(< 25)
Douglas,Precinct 107,State Representative,39,Total,634
Douglas,Precinct 107,Douglas County Commissioner - District 1,,Abe Laydon,430
Douglas,Precinct 107,Douglas County Commissioner - District 1,,Mary Lynch,202
Douglas,Precinct 107,Douglas County Commissioner - District 1,,Total,632
Douglas,Precinct 107,Douglas County Clerk and Recorder,,Merlin Klotz,422
Douglas,Precinct 107,Douglas County Clerk and Recorder,,Carol Johnson,200
Douglas,Precinct 107,Douglas County Clerk and Recorder,,Total,622
Douglas,Precinct 107,Douglas County Treasurer,,Dave Gill,420
Douglas,Precinct 107,Douglas County Treasurer,,Angie Hicks,213
Douglas,Precinct 107,Douglas County Treasurer,,Total,633
Douglas,Precinct 107,Douglas County Assessor,,Lisa Frizell,445
Douglas,Precinct 107,Douglas County Assessor,,Shenika Carter,184
Douglas,Precinct 107,Douglas County Assessor,,Total,629
Douglas,Precinct 107,Douglas County Sheriff,,Tony Spurlock,503
Douglas,Precinct 107,Douglas County Sheriff,,Total,503
Douglas,Precinct 107,Douglas County Surveyor,,Robert D. Snodgrass,498
Douglas,Precinct 107,Douglas County Surveyor,,Total,498
Douglas,Precinct 107,Douglas County Coroner,,Jill E. Romann,434
Douglas,Precinct 107,Douglas County Coroner,,Sydney Ludwick,188
Douglas,Precinct 107,Douglas County Coroner,,Total,622
Douglas,Precinct 107,Colorado Supreme Court Justice - Gabriel,,Yes,340
Douglas,Precinct 107,Colorado Supreme Court Justice - Gabriel,,No,172
Douglas,Precinct 107,Colorado Supreme Court Justice - Gabriel,,Total,512
Douglas,Precinct 107,Colorado Court of Appeals Judge - Dailey,,Yes,352
Douglas,Precinct 107,Colorado Court of Appeals Judge - Dailey,,No,154
Douglas,Precinct 107,Colorado Court of Appeals Judge - Dailey,,Total,506
Douglas,Precinct 107,Colorado Court of Appeals Judge - Freyre,,Yes,337
Douglas,Precinct 107,Colorado Court of Appeals Judge - Freyre,,No,173
Douglas,Precinct 107,Colorado Court of Appeals Judge - Freyre,,Total,510
Douglas,Precinct 107,Colorado Court of Appeals Judge - Harris,,Yes,234
Douglas,Precinct 107,Colorado Court of Appeals Judge - Harris,,No,272
Douglas,Precinct 107,Colorado Court of Appeals Judge - Harris,,Total,506
Douglas,Precinct 107,Colorado Court of Appeals Judge - Richman,,Yes,325
Douglas,Precinct 107,Colorado Court of Appeals Judge - Richman,,No,181
Douglas,Precinct 107,Colorado Court of Appeals Judge - Richman,,Total,506
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Douglass,,Yes,198
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Douglass,,No,315
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Douglass,,Total,513
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Herron,,Yes,336
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Herron,,No,167
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Herron,,Total,503
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Kramer,,Yes,332
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Kramer,,No,169
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Kramer,,Total,501
Douglas,Precinct 107,District Court Judge - 18th Judicial Distric - Leutwyler III,,Yes,336
Douglas,Precinct 107,District Court Judge - 18th Judicial Distric - Leutwyler III,,No,165
Douglas,Precinct 107,District Court Judge - 18th Judicial Distric - Leutwyler III,,Total,501
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Lung,,Yes,326
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Lung,,No,172
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Lung,,Total,498
Douglas,Precinct 107,District Court Judge - 18th Judicial District - McLean,,Yes,330
Douglas,Precinct 107,District Court Judge - 18th Judicial District - McLean,,No,173
Douglas,Precinct 107,District Court Judge - 18th Judicial District - McLean,,Total,503
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Michaelson,,Yes,309
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Michaelson,,No,188
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Michaelson,,Total,497
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Spear,,Yes,303
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Spear,,No,193
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Spear,,Total,496
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Whitaker,,Yes,333
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Whitaker,,No,167
Douglas,Precinct 107,District Court Judge - 18th Judicial District - Whitaker,,Total,500
Douglas,Precinct 107,Douglas County Court Judge - Bowling,,Yes,337
Douglas,Precinct 107,Douglas County Court Judge - Bowling,,No,163
Douglas,Precinct 107,Douglas County Court Judge - Bowling,,Total,500
Douglas,Precinct 107,Douglas County Court Judge - Gomez,,Yes,346
Douglas,Precinct 107,Douglas County Court Judge - Gomez,,No,160
Douglas,Precinct 107,Douglas County Court Judge - Gomez,,Total,506
Douglas,Precinct 107,Douglas County Court Judge - Meissner-Cutler,,Yes,343
Douglas,Precinct 107,Douglas County Court Judge - Meissner-Cutler,,No,161
Douglas,Precinct 107,Douglas County Court Judge - Meissner-Cutler,,Total,504
Douglas,Precinct 107,Amendment V (CONSTITUTIONAL),,Yes/For,147
Douglas,Precinct 107,Amendment V (CONSTITUTIONAL),,No/Against,489
Douglas,Precinct 107,Amendment V (CONSTITUTIONAL),,Total,636
Douglas,Precinct 107,Amendment W (CONSTITUTIONAL),,Yes/For,308
Douglas,Precinct 107,Amendment W (CONSTITUTIONAL),,No/Against,297
Douglas,Precinct 107,Amendment W (CONSTITUTIONAL),,Total,605
Douglas,Precinct 107,Amendment X (CONSTITUTIONAL),,Yes/For,333
Douglas,Precinct 107,Amendment X (CONSTITUTIONAL),,No/Against,268
Douglas,Precinct 107,Amendment X (CONSTITUTIONAL),,Total,601
Douglas,Precinct 107,Amendment Y (CONSTITUTIONAL),,Yes/For,413
Douglas,Precinct 107,Amendment Y (CONSTITUTIONAL),,No/Against,205
Douglas,Precinct 107,Amendment Y (CONSTITUTIONAL),,Total,618
Douglas,Precinct 107,Amendment Z (CONSTITUTIONAL),,Yes/For,408
Douglas,Precinct 107,Amendment Z (CONSTITUTIONAL),,No/Against,207
Douglas,Precinct 107,Amendment Z (CONSTITUTIONAL),,Total,615
Douglas,Precinct 107,Amendment A (CONSTITUTIONAL),,Yes/For,342
Douglas,Precinct 107,Amendment A (CONSTITUTIONAL),,No/Against,273
Douglas,Precinct 107,Amendment A (CONSTITUTIONAL),,Total,615
Douglas,Precinct 107,Amendment 73 (CONSTITUTIONAL),,Yes/For,161
Douglas,Precinct 107,Amendment 73 (CONSTITUTIONAL),,No/Against,467
Douglas,Precinct 107,Amendment 73 (CONSTITUTIONAL),,Total,628
Douglas,Precinct 107,Amendment 74 (CONSTITUTIONAL),,Yes/For,338
Douglas,Precinct 107,Amendment 74 (CONSTITUTIONAL),,No/Against,291
Douglas,Precinct 107,Amendment 74 (CONSTITUTIONAL),,Total,629
Douglas,Precinct 107,Amendment 75 (CONSTITUTIONAL),,Yes/For,232
Douglas,Precinct 107,Amendment 75 (CONSTITUTIONAL),,No/Against,377
Douglas,Precinct 107,Amendment 75 (CONSTITUTIONAL),,Total,609
Douglas,Precinct 107,Proposition 109 (STATUTORY),,Yes/For,274
Douglas,Precinct 107,Proposition 109 (STATUTORY),,No/Against,347
Douglas,Precinct 107,Proposition 109 (STATUTORY),,Total,621
Douglas,Precinct 107,Proposition 110 (STATUTORY),,Yes/For,174
Douglas,Precinct 107,Proposition 110 (STATUTORY),,No/Against,442
Douglas,Precinct 107,Proposition 110 (STATUTORY),,Total,616
Douglas,Precinct 107,Proposition 111 (STATUTORY),,Yes/For,443
Douglas,Precinct 107,Proposition 111 (STATUTORY),,No/Against,169
Douglas,Precinct 107,Proposition 111 (STATUTORY),,Total,612
Douglas,Precinct 107,Proposition 112 (STATUTORY),,Yes/For,222
Douglas,Precinct 107,Proposition 112 (STATUTORY),,No/Against,407
Douglas,Precinct 107,Proposition 112 (STATUTORY),,Total,629
Douglas,Precinct 107,Douglas County School District RE-1 Ballot Issue 5A,,Yes/For,239
Douglas,Precinct 107,Douglas County School District RE-1 Ballot Issue 5A,,No/Against,395
Douglas,Precinct 107,Douglas County School District RE-1 Ballot Issue 5A,,Total,634
Douglas,Precinct 107,Douglas County School District RE-1 Ballot Issue 5B,,Yes/For,224
Douglas,Precinct 107,Douglas County School District RE-1 Ballot Issue 5B,,No/Against,409
Douglas,Precinct 107,Douglas County School District RE-1 Ballot Issue 5B,,Total,633
Douglas,Precinct 107,Urban Drainage and Flood Control District Ballot Issue 7G,,Yes/For,156
Douglas,Precinct 107,Urban Drainage and Flood Control District Ballot Issue 7G,,No/Against,179
Douglas,Precinct 107,Urban Drainage and Flood Control District Ballot Issue 7G,,Total,335
Douglas,Precinct 306,U.S. House,4,Karen McCormick,256
Douglas,Precinct 306,U.S. House,4,Ken Buck,620
Douglas,Precinct 306,U.S. House,4,Write-in,(< 25)
Douglas,Precinct 306,U.S. House,4,Total,877
Douglas,Precinct 306,Governor,,Jar Pol / Dia Pri,248
Douglas,Precinct 306,Governor,,Wal Sta / Lang Sias,606
Douglas,Precinct 306,Governor,,Bil Ham / Eri Bod,(< 25)
Douglas,Precinct 306,Governor,,Sco Hel / Mic Poague,(< 25)
Douglas,Precinct 306,Governor,,Total,876
Douglas,Precinct 306,Secretary of State,,Wayne Williams,608
Douglas,Precinct 306,Secretary of State,,Jena Griswold,237
Douglas,Precinct 306,Secretary of State,,Amanda Campbell,(< 25)
Douglas,Precinct 306,Secretary of State,,Blake Huber,(< 25)
Douglas,Precinct 306,Secretary of State,,Total,869
Douglas,Precinct 306,State Treasurer,,Brian Watson,601
Douglas,Precinct 306,State Treasurer,,Dave Young,240
Douglas,Precinct 306,State Treasurer,,Gerald F. Kilpatrick,(< 25)
Douglas,Precinct 306,State Treasurer,,Total,865
Douglas,Precinct 306,Attorney General,,Phil Weiser,231
Douglas,Precinct 306,Attorney General,,George Brauchler,617
Douglas,Precinct 306,Attorney General,,Wil F. Robinson III,(< 25)
Douglas,Precinct 306,Attorney General,,Total,872
Douglas,Precinct 306,State Board of Education Member - Congressional District 4,,Tim Krug,238
Douglas,Precinct 306,State Board of Education Member - Congressional District 4,,Debora L. Scheffel,616
Douglas,Precinct 306,State Board of Education Member - Congressional District 4,,Total,854
Douglas,Precinct 306,Regent of the University of Colorado - At Large,,Lesley Smith,227
Douglas,Precinct 306,Regent of the University of Colorado - At Large,,Ken Montera,588
Douglas,Precinct 306,Regent of the University of Colorado - At Large,,Chr E. Otwell,(< 25)
Douglas,Precinct 306,Regent of the University of Colorado - At Large,,James K. Treibert,28
Douglas,Precinct 306,Regent of the University of Colorado - At Large,,Total,850
Douglas,Precinct 306,State Representative,39,Mark Baisley,602
Douglas,Precinct 306,State Representative,39,Kamala Vanderkolk,244
Douglas,Precinct 306,State Representative,39,Tony Gross,(< 25)
Douglas,Precinct 306,State Representative,39,Total,861
Douglas,Precinct 306,Douglas County Commissioner - District 1,,Abe Laydon,623
Douglas,Precinct 306,Douglas County Commissioner - District 1,,Mary Lynch,227
Douglas,Precinct 306,Douglas County Commissioner - District 1,,Total,850
Douglas,Precinct 306,Douglas County Clerk and Recorder,,Merlin Klotz,623
Douglas,Precinct 306,Douglas County Clerk and Recorder,,Carol Johnson,224
Douglas,Precinct 306,Douglas County Clerk and Recorder,,Total,847
Douglas,Precinct 306,Douglas County Treasurer,,Dave Gill,615
Douglas,Precinct 306,Douglas County Treasurer,,Angie Hicks,227
Douglas,Precinct 306,Douglas County Treasurer,,Total,842
Douglas,Precinct 306,Douglas County Assessor,,Lisa Frizell,639
Douglas,Precinct 306,Douglas County Assessor,,Shenika Carter,201
Douglas,Precinct 306,Douglas County Assessor,,Total,840
Douglas,Precinct 306,Douglas County Sheriff,,Tony Spurlock,711
Douglas,Precinct 306,Douglas County Sheriff,,Total,711
Douglas,Precinct 306,Douglas County Surveyor,,Robert D. Snodgrass,704
Douglas,Precinct 306,Douglas County Surveyor,,Total,704
Douglas,Precinct 306,Douglas County Coroner,,Jill E. Romann,628
Douglas,Precinct 306,Douglas County Coroner,,Sydney Ludwick,209
Douglas,Precinct 306,Douglas County Coroner,,Total,837
Douglas,Precinct 306,Colorado Supreme Court Justice - Gabriel,,Yes,413
Douglas,Precinct 306,Colorado Supreme Court Justice - Gabriel,,No,264
Douglas,Precinct 306,Colorado Supreme Court Justice - Gabriel,,Total,677
Douglas,Precinct 306,Colorado Court of Appeals Judge - Dailey,,Yes,427
Douglas,Precinct 306,Colorado Court of Appeals Judge - Dailey,,No,238
Douglas,Precinct 306,Colorado Court of Appeals Judge - Dailey,,Total,665
Douglas,Precinct 306,Colorado Court of Appeals Judge - Freyre,,Yes,410
Douglas,Precinct 306,Colorado Court of Appeals Judge - Freyre,,No,258
Douglas,Precinct 306,Colorado Court of Appeals Judge - Freyre,,Total,668
Douglas,Precinct 306,Colorado Court of Appeals Judge - Harris,,Yes,302
Douglas,Precinct 306,Colorado Court of Appeals Judge - Harris,,No,367
Douglas,Precinct 306,Colorado Court of Appeals Judge - Harris,,Total,669
Douglas,Precinct 306,Colorado Court of Appeals Judge - Richman,,Yes,395
Douglas,Precinct 306,Colorado Court of Appeals Judge - Richman,,No,271
Douglas,Precinct 306,Colorado Court of Appeals Judge - Richman,,Total,666
Douglas,Precinct 306,District Court Judge - 18th Judicial District - Douglass,,Yes,230
Douglas,Precinct 306,District Court Judge - 18th Judicial District - Douglass,,No,444
Douglas,Precinct 306,District Court Judge - 18th Judicial District - Douglass,,Total,674
Douglas,Precinct 306,District Court Judge - 18th Judicial District - Herron,,Yes,397
Douglas,Precinct 306,District Court Judge - 18th Judicial District - Herron,,No,260
Douglas,Precinct 306,District Court Judge - 18th Judicial District - Herron,,Total,657
Douglas,Precinct 306,District Court Judge - 18th Judicial District - Kramer,,Yes,385
Douglas,Precinct 306,District Court Judge - 18th Judicial District - Kramer,,No,265
Douglas,Precinct 306,District Court Judge - 18th Judicial District - Kramer,,Total,650
Douglas,Precinct 306,District Court Judge - 18th Judicial Distric - Leutwyler III,,Yes,394
Douglas,Precinct 306,District Court Judge - 18th Judicial Distric - Leutwyler III,,No,257
Douglas,Precinct 306,District Court Judge - 18th Judicial Distric - Leutwyler III,,Total,651
Douglas,Precinct 306,District Court Judge - 18th Judicial District - Lung,,Yes,391
Douglas,Precinct 306,District Court Judge - 18th Judicial District - Lung,,No,257
Douglas,Precinct 306,District Court Judge - 18th Judicial District - Lung,,Total,648
