county,office,district,party,candidate,votes
ARAPAHOE,U.S. House,1,DEM,Diana L. DeGette,1991
DENVER,U.S. House,1,DEM,Diana L. DeGette,24009
JEFFERSON,U.S. House,1,DEM,Diana L. DeGette,0
TOTALS,U.S. House,1,DEM,Diana L. DeGette,26000
ARAPAHOE,U.S. House,1,DEM,,1991
DENVER,U.S. House,1,DEM,,24009
JEFFERSON,U.S. House,1,DEM,,0
TOTALS,U.S. House,1,DEM,,26000
ADAMS,U.S. House,2,DEM,Mark Udall,7797
BOULDER,U.S. House,2,DEM,Mark Udall,10856
BROOMFIELD,U.S. House,2,DEM,Mark Udall,1461
CLEAR CREEK,U.S. House,2,DEM,Mark Udall,189
EAGLE,U.S. House,2,DEM,Mark Udall,592
GILPIN,U.S. House,2,DEM,Mark Udall,165
GRAND,U.S. House,2,DEM,Mark Udall,405
JEFFERSON,U.S. House,2,DEM,Mark Udall,1681
SUMMIT,U.S. House,2,DEM,Mark Udall,130
WELD,U.S. House,2,DEM,Mark Udall,449
TOTALS,U.S. House,2,DEM,Mark Udall,23725
ADAMS,U.S. House,2,DEM,,7797
BOULDER,U.S. House,2,DEM,,10856
BROOMFIELD,U.S. House,2,DEM,,1461
CLEAR CREEK,U.S. House,2,DEM,,189
EAGLE,U.S. House,2,DEM,,592
GILPIN,U.S. House,2,DEM,,165
GRAND,U.S. House,2,DEM,,405
JEFFERSON,U.S. House,2,DEM,,1681
SUMMIT,U.S. House,2,DEM,,130
WELD,U.S. House,2,DEM,,449
TOTALS,U.S. House,2,DEM,,23725
ALAMOSA,U.S. House,3,DEM,John Salazar,650
ARCHULETA,U.S. House,3,DEM,John Salazar,383
CONEJOS,U.S. House,3,DEM,John Salazar,1292
COSTILLA,U.S. House,3,DEM,John Salazar,813
CUSTER,U.S. House,3,DEM,John Salazar,99
DELTA,U.S. House,3,DEM,John Salazar,454
DOLORES,U.S. House,3,DEM,John Salazar,215
GARFIELD,U.S. House,3,DEM,John Salazar,207
GUNNISON,U.S. House,3,DEM,John Salazar,151
HINSDALE,U.S. House,3,DEM,John Salazar,13
HUERFANO,U.S. House,3,DEM,John Salazar,877
JACKSON,U.S. House,3,DEM,John Salazar,52
LAS ANIMAS,U.S. House,3,DEM,John Salazar,1388
LA PLATA,U.S. House,3,DEM,John Salazar,1330
MESA,U.S. House,3,DEM,John Salazar,3323
MINERAL,U.S. House,3,DEM,John Salazar,92
MOFFAT,U.S. House,3,DEM,John Salazar,222
MONTEZUMA,U.S. House,3,DEM,John Salazar,599
MONTROSE,U.S. House,3,DEM,John Salazar,563
OTERO,U.S. House,3,DEM,John Salazar,630
OURAY,U.S. House,3,DEM,John Salazar,101
PITKIN,U.S. House,3,DEM,John Salazar,121
PUEBLO,U.S. House,3,DEM,John Salazar,6302
RIO BLANCO,U.S. House,3,DEM,John Salazar,83
RIO GRANDE,U.S. House,3,DEM,John Salazar,334
ROUTT,U.S. House,3,DEM,John Salazar,260
SAGUACHE,U.S. House,3,DEM,John Salazar,466
SAN JUAN,U.S. House,3,DEM,John Salazar,34
SAN MIGUEL,U.S. House,3,DEM,John Salazar,817
TOTALS,U.S. House,3,DEM,John Salazar,21871
ALAMOSA,U.S. House,3,DEM,,650
ARCHULETA,U.S. House,3,DEM,,383
CONEJOS,U.S. House,3,DEM,,1292
COSTILLA,U.S. House,3,DEM,,813
CUSTER,U.S. House,3,DEM,,99
DELTA,U.S. House,3,DEM,,454
DOLORES,U.S. House,3,DEM,,215
GARFIELD,U.S. House,3,DEM,,207
GUNNISON,U.S. House,3,DEM,,151
HINSDALE,U.S. House,3,DEM,,13
HUERFANO,U.S. House,3,DEM,,877
JACKSON,U.S. House,3,DEM,,52
LAS ANIMAS,U.S. House,3,DEM,,1388
