county,office,district,party,candidate,votes
Adams,U.S. Senate,,DEM,Andrew Romanoff,10243
Alamosa,U.S. Senate,,DEM,Andrew Romanoff,570
Arapahoe,U.S. Senate,,DEM,Andrew Romanoff,17645
Archuleta,U.S. Senate,,DEM,Andrew Romanoff,165
Baca,U.S. Senate,,DEM,Andrew Romanoff,288
Bent,U.S. Senate,,DEM,Andrew Romanoff,254
Boulder,U.S. Senate,,DEM,Andrew Romanoff,16331
Broomfield,U.S. Senate,,DEM,Andrew Romanoff,1908
Chaffee,U.S. Senate,,DEM,Andrew Romanoff,676
Cheyenne,U.S. Senate,,DEM,Andrew Romanoff,52
Clear Creek,U.S. Senate,,DEM,Andrew Romanoff,537
Conejos,U.S. Senate,,DEM,Andrew Romanoff,328
Costilla,U.S. Senate,,DEM,Andrew Romanoff,362
Crowley,U.S. Senate,,DEM,Andrew Romanoff,109
Custer,U.S. Senate,,DEM,Andrew Romanoff,82
Delta,U.S. Senate,,DEM,Andrew Romanoff,713
Denver,U.S. Senate,,DEM,Andrew Romanoff,33512
Dolores,U.S. Senate,,DEM,Andrew Romanoff,100
Douglas,U.S. Senate,,DEM,Andrew Romanoff,5857
Eagle,U.S. Senate,,DEM,Andrew Romanoff,762
El Paso,U.S. Senate,,DEM,Andrew Romanoff,8678
Elbert,U.S. Senate,,DEM,Andrew Romanoff,433
Fremont,U.S. Senate,,DEM,Andrew Romanoff,1183
Garfield,U.S. Senate,,DEM,Andrew Romanoff,943
Gilpin,U.S. Senate,,DEM,Andrew Romanoff,257
Grand,U.S. Senate,,DEM,Andrew Romanoff,449
Gunnison,U.S. Senate,,DEM,Andrew Romanoff,663
Hinsdale,U.S. Senate,,DEM,Andrew Romanoff,6
Huerfano,U.S. Senate,,DEM,Andrew Romanoff,531
Jackson,U.S. Senate,,DEM,Andrew Romanoff,30
Jefferson,U.S. Senate,,DEM,Andrew Romanoff,20190
Kiowa,U.S. Senate,,DEM,Andrew Romanoff,58
Kit Carson,U.S. Senate,,DEM,Andrew Romanoff,134
La Plata,U.S. Senate,,DEM,Andrew Romanoff,1154
Lake,U.S. Senate,,DEM,Andrew Romanoff,439
Larimer,U.S. Senate,,DEM,Andrew Romanoff,8335
Las Animas,U.S. Senate,,DEM,Andrew Romanoff,1039
Lincoln,U.S. Senate,,DEM,Andrew Romanoff,113
Logan,U.S. Senate,,DEM,Andrew Romanoff,455
Mesa,U.S. Senate,,DEM,Andrew Romanoff,2753
Mineral,U.S. Senate,,DEM,Andrew Romanoff,81
Moffat,U.S. Senate,,DEM,Andrew Romanoff,131
Montezuma,U.S. Senate,,DEM,Andrew Romanoff,431
Montrose,U.S. Senate,,DEM,Andrew Romanoff,893
Morgan,U.S. Senate,,DEM,Andrew Romanoff,522
Otero,U.S. Senate,,DEM,Andrew Romanoff,659
Ouray,U.S. Senate,,DEM,Andrew Romanoff,179
Park,U.S. Senate,,DEM,Andrew Romanoff,403
Phillips,U.S. Senate,,DEM,Andrew Romanoff,98
Pitkin,U.S. Senate,,DEM,Andrew Romanoff,375
Prowers,U.S. Senate,,DEM,Andrew Romanoff,239
Pueblo,U.S. Senate,,DEM,Andrew Romanoff,7072
Rio Blanco,U.S. Senate,,DEM,Andrew Romanoff,56
Rio Grande,U.S. Senate,,DEM,Andrew Romanoff,291
Routt,U.S. Senate,,DEM,Andrew Romanoff,643
Saguache,U.S. Senate,,DEM,Andrew Romanoff,467
San Juan,U.S. Senate,,DEM,Andrew Romanoff,15
San Miguel,U.S. Senate,,DEM,Andrew Romanoff,311
Sedgwick,U.S. Senate,,DEM,Andrew Romanoff,40
Summit,U.S. Senate,,DEM,Andrew Romanoff,545
Teller,U.S. Senate,,DEM,Andrew Romanoff,434
Washington,U.S. Senate,,DEM,Andrew Romanoff,73
Weld,U.S. Senate,,DEM,Andrew Romanoff,3904
Yuma,U.S. Senate,,DEM,Andrew Romanoff,220
Adams,U.S. Senate,,DEM,Michael F. Bennet,13875
Alamosa,U.S. Senate,,DEM,Michael F. Bennet,899
Arapahoe,U.S. Senate,,DEM,Michael F. Bennet,20774
Archuleta,U.S. Senate,,DEM,Michael F. Bennet,327
Baca,U.S. Senate,,DEM,Michael F. Bennet,287
Bent,U.S. Senate,,DEM,Michael F. Bennet,207
Boulder,U.S. Senate,,DEM,Michael F. Bennet,15443
Broomfield,U.S. Senate,,DEM,Michael F. Bennet,2211
Chaffee,U.S. Senate,,DEM,Michael F. Bennet,964
Cheyenne,U.S. Senate,,DEM,Michael F. Bennet,46
Clear Creek,U.S. Senate,,DEM,Michael F. Bennet,419
Conejos,U.S. Senate,,DEM,Michael F. Bennet,675
Costilla,U.S. Senate,,DEM,Michael F. Bennet,561
Crowley,U.S. Senate,,DEM,Michael F. Bennet,154
Custer,U.S. Senate,,DEM,Michael F. Bennet,148
Delta,U.S. Senate,,DEM,Michael F. Bennet,1081
Denver,U.S. Senate,,DEM,Michael F. Bennet,29647
Dolores,U.S. Senate,,DEM,Michael F. Bennet,127
