county,office,district,party,candidate,votes
ADAMS,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,96558
ALAMOSA,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,3189
ARAPAHOE,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,159885
ARCHULETA,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,2500
BACA,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,283
BENT,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,590
BOULDER,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,132334
BROOMFIELD,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,19731
CHAFFEE,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,4888
CHEYENNE,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,132
CLEAR CREEK,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,2729
CONEJOS,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,1771
COSTILLA,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,1125
CROWLEY,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,339
CUSTER,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,797
DELTA,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,4087
DENVER,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,244551
DOLORES,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,242
DOUGLAS,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,68657
EAGLE,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,14099
ELBERT,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,3134
EL PASO,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,108010
FREMONT,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,5297
GARFIELD,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,11271
GILPIN,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,1634
GRAND,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,3358
GUNNISON,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,5128
HINSDALE,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,197
HUERFANO,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,1633
JACKSON,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,171
JEFFERSON,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,160776
KIOWA,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,91
KIT CARSON,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,536
LAKE,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,1616
LA PLATA,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,15525
LARIMER,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,93113
LAS ANIMAS,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,2650
LINCOLN,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,409
LOGAN,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,1851
MESA,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,21729
MINERAL,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,237
MOFFAT,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,874
MONTEZUMA,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,3973
MONTROSE,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,5466
MORGAN,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,3151
OTERO,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,2943
OURAY,President/Vice President,,Democratic Party,Hillary Clinton / Tim Kaine,1697
